name^|^value^|^source_system^|^scoring_id^|^customer_id^|^scoring_grp^|^subscr_id^|^household_id
churn_score^|^118^|^BDP^|^88^|^46189162^|^88^|^32837487^|^118
churn_score^|^119^|^BDP^|^89^|^46189163^|^89^|^32837488^|^119
churn_score^|^120^|^BDP^|^90^|^46189164^|^90^|^32837489^|^120
churn_score^|^121^|^BDP^|^91^|^46189165^|^91^|^32837490^|^121
churn_score^|^122^|^BDP^|^92^|^46189166^|^92^|^32837491^|^122
churn_score^|^123^|^BDP^|^93^|^46189167^|^93^|^32837492^|^123
churn_score^|^124^|^BDP^|^94^|^46189168^|^94^|^32837493^|^124
churn_score^|^125^|^BDP^|^95^|^46189169^|^95^|^32837494^|^125
churn_score^|^126^|^BDP^|^96^|^46189170^|^96^|^32837495^|^126
churn_score^|^127^|^BDP^|^97^|^46189171^|^97^|^32837496^|^127
churn_score^|^128^|^BDP^|^98^|^46189172^|^98^|^32837497^|^128
churn_score^|^129^|^BDP^|^99^|^46189173^|^99^|^32837498^|^129
churn_score^|^130^|^BDP^|^100^|^46189174^|^100^|^32837499^|^130
churn_score^|^131^|^BDP^|^101^|^46189175^|^101^|^32837500^|^131
churn_score^|^132^|^BDP^|^102^|^46189176^|^102^|^32837501^|^132
churn_score^|^133^|^BDP^|^103^|^46189177^|^103^|^32837502^|^133
churn_score^|^134^|^BDP^|^104^|^46189178^|^104^|^32837503^|^134
churn_score^|^135^|^BDP^|^105^|^46189179^|^105^|^32837504^|^135
churn_score^|^136^|^BDP^|^106^|^46189180^|^106^|^32837505^|^136
churn_score^|^137^|^BDP^|^107^|^46189181^|^107^|^32837506^|^137
churn_score^|^138^|^BDP^|^108^|^46189182^|^108^|^32837507^|^138
churn_score^|^139^|^BDP^|^109^|^46189183^|^109^|^32837508^|^139
churn_score^|^140^|^BDP^|^110^|^46189184^|^110^|^32837509^|^140
churn_score^|^141^|^BDP^|^111^|^46189185^|^111^|^32837510^|^141
churn_score^|^142^|^BDP^|^112^|^46189186^|^112^|^32837511^|^142
churn_score^|^143^|^BDP^|^113^|^46189187^|^113^|^32837512^|^143
churn_score^|^144^|^BDP^|^114^|^46189188^|^114^|^32837513^|^144
churn_score^|^145^|^BDP^|^115^|^46189189^|^115^|^32837514^|^145
churn_score^|^146^|^BDP^|^116^|^46189190^|^116^|^32837515^|^146
churn_score^|^147^|^BDP^|^117^|^46189191^|^117^|^32837516^|^147
churn_score^|^148^|^BDP^|^118^|^46189192^|^118^|^32837517^|^148
churn_score^|^149^|^BDP^|^119^|^46189193^|^119^|^32837518^|^149
churn_score^|^150^|^BDP^|^120^|^46189194^|^120^|^32837519^|^150
churn_score^|^151^|^BDP^|^121^|^46189195^|^121^|^32837520^|^151
churn_score^|^152^|^BDP^|^122^|^46189196^|^122^|^32837521^|^152
churn_score^|^153^|^BDP^|^123^|^46189197^|^123^|^32837522^|^153
churn_score^|^154^|^BDP^|^124^|^46189198^|^124^|^32837523^|^154
churn_score^|^155^|^BDP^|^125^|^46189199^|^125^|^32837524^|^155
churn_score^|^156^|^BDP^|^126^|^46189200^|^126^|^32837525^|^156
churn_score^|^157^|^BDP^|^127^|^46189201^|^127^|^32837526^|^157
churn_score^|^158^|^BDP^|^128^|^46189202^|^128^|^32837527^|^158
churn_score^|^159^|^BDP^|^129^|^46189203^|^129^|^32837528^|^159
churn_score^|^160^|^BDP^|^130^|^46189204^|^130^|^32837529^|^160
churn_score^|^161^|^BDP^|^131^|^46189205^|^131^|^32837530^|^161
churn_score^|^162^|^BDP^|^132^|^46189206^|^132^|^32837531^|^162
churn_score^|^163^|^BDP^|^133^|^46189207^|^133^|^32837532^|^163
churn_score^|^164^|^BDP^|^134^|^46189208^|^134^|^32837533^|^164
churn_score^|^165^|^BDP^|^135^|^46189209^|^135^|^32837534^|^165
churn_score^|^166^|^BDP^|^136^|^46189210^|^136^|^32837535^|^166
churn_score^|^167^|^BDP^|^137^|^46189211^|^137^|^32837536^|^167
churn_score^|^168^|^BDP^|^138^|^46189212^|^138^|^32837537^|^168
churn_score^|^169^|^BDP^|^139^|^46189213^|^139^|^32837538^|^169
churn_score^|^170^|^BDP^|^140^|^46189214^|^140^|^32837539^|^170
churn_score^|^171^|^BDP^|^141^|^46189215^|^141^|^32837540^|^171
churn_score^|^172^|^BDP^|^142^|^46189216^|^142^|^32837541^|^172
churn_score^|^173^|^BDP^|^143^|^46189217^|^143^|^32837542^|^173
churn_score^|^174^|^BDP^|^144^|^46189218^|^144^|^32837543^|^174
churn_score^|^175^|^BDP^|^145^|^46189219^|^145^|^32837544^|^175
churn_score^|^176^|^BDP^|^146^|^46189220^|^146^|^32837545^|^176
churn_score^|^177^|^BDP^|^147^|^46189221^|^147^|^32837546^|^177
churn_score^|^178^|^BDP^|^148^|^46189222^|^148^|^32837547^|^178
churn_score^|^179^|^BDP^|^149^|^46189223^|^149^|^32837548^|^179
churn_score^|^180^|^BDP^|^150^|^46189224^|^150^|^32837549^|^180
churn_score^|^181^|^BDP^|^151^|^46189225^|^151^|^32837550^|^181
churn_score^|^182^|^BDP^|^152^|^46189226^|^152^|^32837551^|^182
churn_score^|^183^|^BDP^|^153^|^46189227^|^153^|^32837552^|^183
churn_score^|^184^|^BDP^|^154^|^46189228^|^154^|^32837553^|^184
churn_score^|^185^|^BDP^|^155^|^46189229^|^155^|^32837554^|^185
churn_score^|^186^|^BDP^|^156^|^46189230^|^156^|^32837555^|^186
churn_score^|^187^|^BDP^|^157^|^46189231^|^157^|^32837556^|^187
churn_score^|^188^|^BDP^|^158^|^46189232^|^158^|^32837557^|^188
churn_score^|^189^|^BDP^|^159^|^46189233^|^159^|^32837558^|^189
churn_score^|^190^|^BDP^|^160^|^46189234^|^160^|^32837559^|^190
churn_score^|^191^|^BDP^|^161^|^46189235^|^161^|^32837560^|^191
churn_score^|^192^|^BDP^|^162^|^46189236^|^162^|^32837561^|^192
churn_score^|^193^|^BDP^|^163^|^46189237^|^163^|^32837562^|^193
churn_score^|^194^|^BDP^|^164^|^46189238^|^164^|^32837563^|^194
churn_score^|^195^|^BDP^|^165^|^46189239^|^165^|^32837564^|^195
churn_score^|^196^|^BDP^|^166^|^46189240^|^166^|^32837565^|^196
churn_score^|^197^|^BDP^|^167^|^46189241^|^167^|^32837566^|^197
churn_score^|^198^|^BDP^|^168^|^46189242^|^168^|^32837567^|^198
churn_score^|^199^|^BDP^|^169^|^46189243^|^169^|^32837568^|^199
churn_score^|^200^|^BDP^|^170^|^46189244^|^170^|^32837569^|^200
churn_score^|^201^|^BDP^|^171^|^46189245^|^171^|^32837570^|^201
churn_score^|^202^|^BDP^|^172^|^46189246^|^172^|^32837571^|^202
churn_score^|^203^|^BDP^|^173^|^46189247^|^173^|^32837572^|^203
churn_score^|^204^|^BDP^|^174^|^46189248^|^174^|^32837573^|^204
churn_score^|^205^|^BDP^|^175^|^46189249^|^175^|^32837574^|^205
churn_score^|^206^|^BDP^|^176^|^46189250^|^176^|^32837575^|^206
churn_score^|^207^|^BDP^|^177^|^46189251^|^177^|^32837576^|^207
churn_score^|^208^|^BDP^|^178^|^46189252^|^178^|^32837577^|^208
churn_score^|^209^|^BDP^|^179^|^46189253^|^179^|^32837578^|^209
churn_score^|^210^|^BDP^|^180^|^46189254^|^180^|^32837579^|^210
churn_score^|^211^|^BDP^|^181^|^46189255^|^181^|^32837580^|^211
churn_score^|^212^|^BDP^|^182^|^46189256^|^182^|^32837581^|^212
churn_score^|^213^|^BDP^|^183^|^46189257^|^183^|^32837582^|^213
churn_score^|^214^|^BDP^|^184^|^46189258^|^184^|^32837583^|^214
churn_score^|^215^|^BDP^|^185^|^46189259^|^185^|^32837584^|^215
churn_score^|^216^|^BDP^|^186^|^46189260^|^186^|^32837585^|^216
churn_score^|^217^|^BDP^|^187^|^46189261^|^187^|^32837586^|^217
churn_score^|^218^|^BDP^|^188^|^46189262^|^188^|^32837587^|^218
churn_score^|^219^|^BDP^|^189^|^46189263^|^189^|^32837588^|^219
churn_score^|^220^|^BDP^|^190^|^46189264^|^190^|^32837589^|^220
churn_score^|^221^|^BDP^|^191^|^46189265^|^191^|^32837590^|^221
churn_score^|^222^|^BDP^|^192^|^46189266^|^192^|^32837591^|^222
churn_score^|^223^|^BDP^|^193^|^46189267^|^193^|^32837592^|^223
churn_score^|^224^|^BDP^|^194^|^46189268^|^194^|^32837593^|^224
churn_score^|^225^|^BDP^|^195^|^46189269^|^195^|^32837594^|^225
churn_score^|^226^|^BDP^|^196^|^46189270^|^196^|^32837595^|^226
churn_score^|^227^|^BDP^|^197^|^46189271^|^197^|^32837596^|^227
churn_score^|^228^|^BDP^|^198^|^46189272^|^198^|^32837597^|^228
churn_score^|^229^|^BDP^|^199^|^46189273^|^199^|^32837598^|^229
churn_score^|^230^|^BDP^|^200^|^46189274^|^200^|^32837599^|^230
churn_score^|^231^|^BDP^|^201^|^46189275^|^201^|^32837600^|^231
churn_score^|^232^|^BDP^|^202^|^46189276^|^202^|^32837601^|^232
churn_score^|^233^|^BDP^|^203^|^46189277^|^203^|^32837602^|^233
churn_score^|^234^|^BDP^|^204^|^46189278^|^204^|^32837603^|^234
churn_score^|^235^|^BDP^|^205^|^46189279^|^205^|^32837604^|^235
churn_score^|^236^|^BDP^|^206^|^46189280^|^206^|^32837605^|^236
churn_score^|^237^|^BDP^|^207^|^46189281^|^207^|^32837606^|^237
churn_score^|^238^|^BDP^|^208^|^46189282^|^208^|^32837607^|^238
churn_score^|^239^|^BDP^|^209^|^46189283^|^209^|^32837608^|^239
churn_score^|^240^|^BDP^|^210^|^46189284^|^210^|^32837609^|^240
churn_score^|^241^|^BDP^|^211^|^46189285^|^211^|^32837610^|^241
churn_score^|^242^|^BDP^|^212^|^46189286^|^212^|^32837611^|^242
churn_score^|^243^|^BDP^|^213^|^46189287^|^213^|^32837612^|^243
churn_score^|^244^|^BDP^|^214^|^46189288^|^214^|^32837613^|^244
churn_score^|^245^|^BDP^|^215^|^46189289^|^215^|^32837614^|^245
churn_score^|^246^|^BDP^|^216^|^46189290^|^216^|^32837615^|^246
churn_score^|^247^|^BDP^|^217^|^46189291^|^217^|^32837616^|^247
churn_score^|^248^|^BDP^|^218^|^46189292^|^218^|^32837617^|^248
churn_score^|^249^|^BDP^|^219^|^46189293^|^219^|^32837618^|^249
churn_score^|^250^|^BDP^|^220^|^46189294^|^220^|^32837619^|^250
churn_score^|^251^|^BDP^|^221^|^46189295^|^221^|^32837620^|^251
churn_score^|^252^|^BDP^|^222^|^46189296^|^222^|^32837621^|^252
churn_score^|^253^|^BDP^|^223^|^46189297^|^223^|^32837622^|^253
churn_score^|^254^|^BDP^|^224^|^46189298^|^224^|^32837623^|^254
churn_score^|^255^|^BDP^|^225^|^46189299^|^225^|^32837624^|^255
churn_score^|^256^|^BDP^|^226^|^46189300^|^226^|^32837625^|^256
churn_score^|^257^|^BDP^|^227^|^46189301^|^227^|^32837626^|^257
churn_score^|^258^|^BDP^|^228^|^46189302^|^228^|^32837627^|^258
churn_score^|^259^|^BDP^|^229^|^46189303^|^229^|^32837628^|^259
churn_score^|^260^|^BDP^|^230^|^46189304^|^230^|^32837629^|^260
churn_score^|^261^|^BDP^|^231^|^46189305^|^231^|^32837630^|^261
churn_score^|^262^|^BDP^|^232^|^46189306^|^232^|^32837631^|^262
churn_score^|^263^|^BDP^|^233^|^46189307^|^233^|^32837632^|^263
churn_score^|^264^|^BDP^|^234^|^46189308^|^234^|^32837633^|^264
churn_score^|^265^|^BDP^|^235^|^46189309^|^235^|^32837634^|^265
churn_score^|^266^|^BDP^|^236^|^46189310^|^236^|^32837635^|^266
churn_score^|^267^|^BDP^|^237^|^46189311^|^237^|^32837636^|^267
churn_score^|^268^|^BDP^|^238^|^46189312^|^238^|^32837637^|^268
churn_score^|^269^|^BDP^|^239^|^46189313^|^239^|^32837638^|^269
churn_score^|^270^|^BDP^|^240^|^46189314^|^240^|^32837639^|^270
churn_score^|^271^|^BDP^|^241^|^46189315^|^241^|^32837640^|^271
churn_score^|^272^|^BDP^|^242^|^46189316^|^242^|^32837641^|^272
churn_score^|^273^|^BDP^|^243^|^46189317^|^243^|^32837642^|^273
churn_score^|^274^|^BDP^|^244^|^46189318^|^244^|^32837643^|^274
churn_score^|^275^|^BDP^|^245^|^46189319^|^245^|^32837644^|^275
churn_score^|^276^|^BDP^|^246^|^46189320^|^246^|^32837645^|^276
churn_score^|^277^|^BDP^|^247^|^46189321^|^247^|^32837646^|^277
churn_score^|^278^|^BDP^|^248^|^46189322^|^248^|^32837647^|^278
churn_score^|^279^|^BDP^|^249^|^46189323^|^249^|^32837648^|^279
churn_score^|^280^|^BDP^|^250^|^46189324^|^250^|^32837649^|^280
churn_score^|^281^|^BDP^|^251^|^46189325^|^251^|^32837650^|^281
churn_score^|^282^|^BDP^|^252^|^46189326^|^252^|^32837651^|^282
churn_score^|^283^|^BDP^|^253^|^46189327^|^253^|^32837652^|^283
churn_score^|^284^|^BDP^|^254^|^46189328^|^254^|^32837653^|^284
churn_score^|^285^|^BDP^|^255^|^46189329^|^255^|^32837654^|^285
churn_score^|^286^|^BDP^|^256^|^46189330^|^256^|^32837655^|^286
churn_score^|^287^|^BDP^|^257^|^46189331^|^257^|^32837656^|^287
churn_score^|^288^|^BDP^|^258^|^46189332^|^258^|^32837657^|^288
churn_score^|^289^|^BDP^|^259^|^46189333^|^259^|^32837658^|^289
churn_score^|^290^|^BDP^|^260^|^46189334^|^260^|^32837659^|^290
churn_score^|^291^|^BDP^|^261^|^46189335^|^261^|^32837660^|^291
churn_score^|^292^|^BDP^|^262^|^46189336^|^262^|^32837661^|^292
churn_score^|^293^|^BDP^|^263^|^46189337^|^263^|^32837662^|^293
churn_score^|^294^|^BDP^|^264^|^46189338^|^264^|^32837663^|^294
churn_score^|^295^|^BDP^|^265^|^46189339^|^265^|^32837664^|^295
churn_score^|^296^|^BDP^|^266^|^46189340^|^266^|^32837665^|^296
churn_score^|^297^|^BDP^|^267^|^46189341^|^267^|^32837666^|^297
churn_score^|^298^|^BDP^|^268^|^46189342^|^268^|^32837667^|^298
churn_score^|^299^|^BDP^|^269^|^46189343^|^269^|^32837668^|^299
churn_score^|^300^|^BDP^|^270^|^46189344^|^270^|^32837669^|^300
churn_score^|^301^|^BDP^|^271^|^46189345^|^271^|^32837670^|^301
churn_score^|^302^|^BDP^|^272^|^46189346^|^272^|^32837671^|^302
churn_score^|^303^|^BDP^|^273^|^46189347^|^273^|^32837672^|^303
churn_score^|^304^|^BDP^|^274^|^46189348^|^274^|^32837673^|^304
churn_score^|^305^|^BDP^|^275^|^46189349^|^275^|^32837674^|^305
churn_score^|^306^|^BDP^|^276^|^46189350^|^276^|^32837675^|^306
churn_score^|^307^|^BDP^|^277^|^46189351^|^277^|^32837676^|^307
churn_score^|^308^|^BDP^|^278^|^46189352^|^278^|^32837677^|^308
churn_score^|^309^|^BDP^|^279^|^46189353^|^279^|^32837678^|^309
churn_score^|^310^|^BDP^|^280^|^46189354^|^280^|^32837679^|^310
churn_score^|^311^|^BDP^|^281^|^46189355^|^281^|^32837680^|^311
churn_score^|^312^|^BDP^|^282^|^46189356^|^282^|^32837681^|^312
churn_score^|^313^|^BDP^|^283^|^46189357^|^283^|^32837682^|^313
churn_score^|^314^|^BDP^|^284^|^46189358^|^284^|^32837683^|^314
churn_score^|^315^|^BDP^|^285^|^46189359^|^285^|^32837684^|^315
churn_score^|^316^|^BDP^|^286^|^46189360^|^286^|^32837685^|^316
churn_score^|^317^|^BDP^|^287^|^46189361^|^287^|^32837686^|^317
churn_score^|^318^|^BDP^|^288^|^46189362^|^288^|^32837687^|^318
churn_score^|^319^|^BDP^|^289^|^46189363^|^289^|^32837688^|^319
churn_score^|^320^|^BDP^|^290^|^46189364^|^290^|^32837689^|^320
churn_score^|^321^|^BDP^|^291^|^46189365^|^291^|^32837690^|^321
churn_score^|^322^|^BDP^|^292^|^46189366^|^292^|^32837691^|^322
churn_score^|^323^|^BDP^|^293^|^46189367^|^293^|^32837692^|^323
churn_score^|^324^|^BDP^|^294^|^46189368^|^294^|^32837693^|^324
churn_score^|^325^|^BDP^|^295^|^46189369^|^295^|^32837694^|^325
churn_score^|^326^|^BDP^|^296^|^46189370^|^296^|^32837695^|^326
churn_score^|^327^|^BDP^|^297^|^46189371^|^297^|^32837696^|^327
churn_score^|^328^|^BDP^|^298^|^46189372^|^298^|^32837697^|^328
churn_score^|^329^|^BDP^|^299^|^46189373^|^299^|^32837698^|^329
churn_score^|^330^|^BDP^|^300^|^46189374^|^300^|^32837699^|^330
churn_score^|^331^|^BDP^|^301^|^46189375^|^301^|^32837700^|^331
churn_score^|^332^|^BDP^|^302^|^46189376^|^302^|^32837701^|^332
churn_score^|^333^|^BDP^|^303^|^46189377^|^303^|^32837702^|^333
churn_score^|^334^|^BDP^|^304^|^46189378^|^304^|^32837703^|^334
churn_score^|^335^|^BDP^|^305^|^46189379^|^305^|^32837704^|^335
churn_score^|^336^|^BDP^|^306^|^46189380^|^306^|^32837705^|^336
churn_score^|^337^|^BDP^|^307^|^46189381^|^307^|^32837706^|^337
churn_score^|^338^|^BDP^|^308^|^46189382^|^308^|^32837707^|^338
churn_score^|^339^|^BDP^|^309^|^46189383^|^309^|^32837708^|^339
churn_score^|^340^|^BDP^|^310^|^46189384^|^310^|^32837709^|^340
churn_score^|^341^|^BDP^|^311^|^46189385^|^311^|^32837710^|^341
churn_score^|^342^|^BDP^|^312^|^46189386^|^312^|^32837711^|^342
churn_score^|^343^|^BDP^|^313^|^46189387^|^313^|^32837712^|^343
churn_score^|^344^|^BDP^|^314^|^46189388^|^314^|^32837713^|^344
churn_score^|^345^|^BDP^|^315^|^46189389^|^315^|^32837714^|^345
churn_score^|^346^|^BDP^|^316^|^46189390^|^316^|^32837715^|^346
churn_score^|^347^|^BDP^|^317^|^46189391^|^317^|^32837716^|^347
churn_score^|^348^|^BDP^|^318^|^46189392^|^318^|^32837717^|^348
churn_score^|^349^|^BDP^|^319^|^46189393^|^319^|^32837718^|^349
churn_score^|^350^|^BDP^|^320^|^46189394^|^320^|^32837719^|^350
churn_score^|^351^|^BDP^|^321^|^46189395^|^321^|^32837720^|^351
churn_score^|^352^|^BDP^|^322^|^46189396^|^322^|^32837721^|^352
churn_score^|^353^|^BDP^|^323^|^46189397^|^323^|^32837722^|^353
churn_score^|^354^|^BDP^|^324^|^46189398^|^324^|^32837723^|^354
churn_score^|^355^|^BDP^|^325^|^46189399^|^325^|^32837724^|^355
churn_score^|^356^|^BDP^|^326^|^46189400^|^326^|^32837725^|^356
churn_score^|^357^|^BDP^|^327^|^46189401^|^327^|^32837726^|^357
churn_score^|^358^|^BDP^|^328^|^46189402^|^328^|^32837727^|^358
churn_score^|^359^|^BDP^|^329^|^46189403^|^329^|^32837728^|^359
churn_score^|^360^|^BDP^|^330^|^46189404^|^330^|^32837729^|^360
churn_score^|^361^|^BDP^|^331^|^46189405^|^331^|^32837730^|^361
churn_score^|^362^|^BDP^|^332^|^46189406^|^332^|^32837731^|^362
churn_score^|^363^|^BDP^|^333^|^46189407^|^333^|^32837732^|^363
churn_score^|^364^|^BDP^|^334^|^46189408^|^334^|^32837733^|^364
churn_score^|^365^|^BDP^|^335^|^46189409^|^335^|^32837734^|^365
churn_score^|^366^|^BDP^|^336^|^46189410^|^336^|^32837735^|^366
churn_score^|^367^|^BDP^|^337^|^46189411^|^337^|^32837736^|^367
churn_score^|^368^|^BDP^|^338^|^46189412^|^338^|^32837737^|^368
churn_score^|^369^|^BDP^|^339^|^46189413^|^339^|^32837738^|^369
churn_score^|^370^|^BDP^|^340^|^46189414^|^340^|^32837739^|^370
churn_score^|^371^|^BDP^|^341^|^46189415^|^341^|^32837740^|^371
churn_score^|^372^|^BDP^|^342^|^46189416^|^342^|^32837741^|^372
churn_score^|^373^|^BDP^|^343^|^46189417^|^343^|^32837742^|^373
churn_score^|^374^|^BDP^|^344^|^46189418^|^344^|^32837743^|^374
churn_score^|^375^|^BDP^|^345^|^46189419^|^345^|^32837744^|^375
churn_score^|^376^|^BDP^|^346^|^46189420^|^346^|^32837745^|^376
churn_score^|^377^|^BDP^|^347^|^46189421^|^347^|^32837746^|^377
churn_score^|^378^|^BDP^|^348^|^46189422^|^348^|^32837747^|^378
churn_score^|^379^|^BDP^|^349^|^46189423^|^349^|^32837748^|^379
churn_score^|^380^|^BDP^|^350^|^46189424^|^350^|^32837749^|^380
churn_score^|^381^|^BDP^|^351^|^46189425^|^351^|^32837750^|^381
churn_score^|^382^|^BDP^|^352^|^46189426^|^352^|^32837751^|^382
churn_score^|^383^|^BDP^|^353^|^46189427^|^353^|^32837752^|^383
churn_score^|^384^|^BDP^|^354^|^46189428^|^354^|^32837753^|^384
churn_score^|^385^|^BDP^|^355^|^46189429^|^355^|^32837754^|^385
churn_score^|^386^|^BDP^|^356^|^46189430^|^356^|^32837755^|^386
churn_score^|^387^|^BDP^|^357^|^46189431^|^357^|^32837756^|^387
churn_score^|^388^|^BDP^|^358^|^46189432^|^358^|^32837757^|^388
churn_score^|^389^|^BDP^|^359^|^46189433^|^359^|^32837758^|^389
churn_score^|^390^|^BDP^|^360^|^46189434^|^360^|^32837759^|^390
churn_score^|^391^|^BDP^|^361^|^46189435^|^361^|^32837760^|^391
churn_score^|^392^|^BDP^|^362^|^46189436^|^362^|^32837761^|^392
churn_score^|^393^|^BDP^|^363^|^46189437^|^363^|^32837762^|^393
churn_score^|^394^|^BDP^|^364^|^46189438^|^364^|^32837763^|^394
churn_score^|^395^|^BDP^|^365^|^46189439^|^365^|^32837764^|^395
churn_score^|^396^|^BDP^|^366^|^46189440^|^366^|^32837765^|^396
churn_score^|^397^|^BDP^|^367^|^46189441^|^367^|^32837766^|^397
churn_score^|^398^|^BDP^|^368^|^46189442^|^368^|^32837767^|^398
churn_score^|^399^|^BDP^|^369^|^46189443^|^369^|^32837768^|^399
churn_score^|^400^|^BDP^|^370^|^46189444^|^370^|^32837769^|^400
churn_score^|^401^|^BDP^|^371^|^46189445^|^371^|^32837770^|^401
churn_score^|^402^|^BDP^|^372^|^46189446^|^372^|^32837771^|^402
