name^|^value^|^customer_id^|^subscr_id^|^household_id
IsEligibleForCable^|^1^|^82123573^|^159^|^423245
IsEligibleForCable^|^1^|^82123574^|^160^|^423246
IsEligibleForCable^|^1^|^82123575^|^161^|^423247
IsEligibleForCable^|^1^|^82123576^|^162^|^423248
IsEligibleForCable^|^1^|^82123577^|^163^|^423249
IsEligibleForCable^|^1^|^82123578^|^164^|^423250
IsEligibleForCable^|^1^|^82123579^|^165^|^423251
IsEligibleForCable^|^1^|^82123580^|^166^|^423252
IsEligibleForCable^|^1^|^82123581^|^167^|^423253
IsEligibleForCable^|^1^|^82123582^|^168^|^423254
IsEligibleForCable^|^1^|^82123583^|^169^|^423255
IsEligibleForCable^|^1^|^82123584^|^170^|^423256
IsEligibleForCable^|^1^|^82123585^|^171^|^423257
IsEligibleForCable^|^1^|^82123586^|^172^|^423258
IsEligibleForCable^|^1^|^82123587^|^173^|^423259
IsEligibleForCable^|^1^|^82123588^|^174^|^423260
IsEligibleForCable^|^1^|^82123589^|^175^|^423261
IsEligibleForCable^|^1^|^82123590^|^176^|^423262
IsEligibleForCable^|^1^|^82123591^|^177^|^423263
IsEligibleForCable^|^1^|^82123592^|^178^|^423264
IsEligibleForCable^|^1^|^82123593^|^179^|^423265
IsEligibleForCable^|^1^|^82123594^|^180^|^423266
IsEligibleForCable^|^1^|^82123595^|^181^|^423267
IsEligibleForCable^|^1^|^82123596^|^182^|^423268
IsEligibleForCable^|^1^|^82123597^|^183^|^423269
IsEligibleForCable^|^1^|^82123598^|^184^|^423270
IsEligibleForCable^|^1^|^82123599^|^185^|^423271
IsEligibleForCable^|^1^|^82123600^|^186^|^423272
IsEligibleForCable^|^1^|^82123601^|^187^|^423273
IsEligibleForCable^|^1^|^82123602^|^188^|^423274
IsEligibleForCable^|^1^|^82123603^|^189^|^423275
IsEligibleForCable^|^1^|^82123604^|^190^|^423276
IsEligibleForCable^|^1^|^82123605^|^191^|^423277
IsEligibleForCable^|^1^|^82123606^|^192^|^423278
IsEligibleForCable^|^1^|^82123607^|^193^|^423279
IsEligibleForCable^|^1^|^82123608^|^194^|^423280
IsEligibleForCable^|^1^|^82123609^|^195^|^423281
IsEligibleForCable^|^1^|^82123610^|^196^|^423282
IsEligibleForCable^|^1^|^82123611^|^197^|^423283
IsEligibleForCable^|^1^|^82123612^|^198^|^423284
IsEligibleForCable^|^1^|^82123613^|^199^|^423285
IsEligibleForCable^|^1^|^82123614^|^200^|^423286
IsEligibleForCable^|^1^|^82123615^|^201^|^423287
IsEligibleForCable^|^1^|^82123616^|^202^|^423288
IsEligibleForCable^|^1^|^82123617^|^203^|^423289
IsEligibleForCable^|^1^|^82123618^|^204^|^423290
IsEligibleForCable^|^1^|^82123619^|^205^|^423291
IsEligibleForCable^|^1^|^82123620^|^206^|^423292
IsEligibleForCable^|^1^|^82123621^|^207^|^423293
IsEligibleForCable^|^1^|^82123622^|^208^|^423294
IsEligibleForCable^|^1^|^82123623^|^209^|^423295
IsEligibleForCable^|^1^|^82123624^|^210^|^423296
IsEligibleForCable^|^1^|^82123625^|^211^|^423297
IsEligibleForCable^|^1^|^82123626^|^212^|^423298
IsEligibleForCable^|^1^|^82123627^|^213^|^423299
IsEligibleForCable^|^1^|^82123628^|^214^|^423300
IsEligibleForCable^|^1^|^82123629^|^215^|^423301
IsEligibleForCable^|^1^|^82123630^|^216^|^423302
IsEligibleForCable^|^1^|^82123631^|^217^|^423303
IsEligibleForCable^|^1^|^82123632^|^218^|^423304
IsEligibleForCable^|^1^|^82123633^|^219^|^423305
IsEligibleForCable^|^1^|^82123634^|^220^|^423306
IsEligibleForCable^|^1^|^82123635^|^221^|^423307
IsEligibleForCable^|^1^|^82123636^|^222^|^423308
IsEligibleForCable^|^1^|^82123637^|^223^|^423309
IsEligibleForCable^|^1^|^82123638^|^224^|^423310
IsEligibleForCable^|^1^|^82123639^|^225^|^423311
IsEligibleForCable^|^1^|^82123640^|^226^|^423312
IsEligibleForCable^|^1^|^82123641^|^227^|^423313
IsEligibleForCable^|^1^|^82123642^|^228^|^423314
IsEligibleForCable^|^1^|^82123643^|^229^|^423315
IsEligibleForCable^|^1^|^82123644^|^230^|^423316
IsEligibleForCable^|^1^|^82123645^|^231^|^423317
IsEligibleForCable^|^1^|^82123646^|^232^|^423318
IsEligibleForCable^|^1^|^82123647^|^233^|^423319
IsEligibleForCable^|^1^|^82123648^|^234^|^423320
IsEligibleForCable^|^1^|^82123649^|^235^|^423321
IsEligibleForCable^|^1^|^82123650^|^236^|^423322
IsEligibleForCable^|^1^|^82123651^|^237^|^423323
IsEligibleForCable^|^1^|^82123652^|^238^|^423324
IsEligibleForCable^|^1^|^82123653^|^239^|^423325
IsEligibleForCable^|^1^|^82123654^|^240^|^423326
IsEligibleForCable^|^1^|^82123655^|^241^|^423327
IsEligibleForCable^|^1^|^82123656^|^242^|^423328
IsEligibleForCable^|^1^|^82123657^|^243^|^423329
IsEligibleForCable^|^1^|^82123658^|^244^|^423330
IsEligibleForCable^|^1^|^82123659^|^245^|^423331
IsEligibleForCable^|^1^|^82123660^|^246^|^423332
IsEligibleForCable^|^1^|^82123661^|^247^|^423333
IsEligibleForCable^|^1^|^82123662^|^248^|^423334
IsEligibleForCable^|^1^|^82123663^|^249^|^423335
IsEligibleForCable^|^1^|^82123664^|^250^|^423336
IsEligibleForCable^|^1^|^82123665^|^251^|^423337
IsEligibleForCable^|^1^|^82123666^|^252^|^423338
IsEligibleForCable^|^1^|^82123667^|^253^|^423339
IsEligibleForCable^|^1^|^82123668^|^254^|^423340
IsEligibleForCable^|^1^|^82123669^|^255^|^423341
IsEligibleForCable^|^1^|^82123670^|^256^|^423342
IsEligibleForCable^|^1^|^82123671^|^257^|^423343
IsEligibleForCable^|^1^|^82123672^|^258^|^423344
IsEligibleForCable^|^1^|^82123673^|^259^|^423345
IsEligibleForCable^|^1^|^82123674^|^260^|^423346
IsEligibleForCable^|^1^|^82123675^|^261^|^423347
IsEligibleForCable^|^1^|^82123676^|^262^|^423348
IsEligibleForCable^|^1^|^82123677^|^263^|^423349
IsEligibleForCable^|^1^|^82123678^|^264^|^423350
IsEligibleForCable^|^1^|^82123679^|^265^|^423351
IsEligibleForCable^|^1^|^82123680^|^266^|^423352
IsEligibleForCable^|^1^|^82123681^|^267^|^423353
IsEligibleForCable^|^1^|^82123682^|^268^|^423354
IsEligibleForCable^|^1^|^82123683^|^269^|^423355
IsEligibleForCable^|^1^|^82123684^|^270^|^423356
IsEligibleForCable^|^1^|^82123685^|^271^|^423357
IsEligibleForCable^|^1^|^82123686^|^272^|^423358
IsEligibleForCable^|^1^|^82123687^|^273^|^423359
IsEligibleForCable^|^1^|^82123688^|^274^|^423360
IsEligibleForCable^|^1^|^82123689^|^275^|^423361
IsEligibleForCable^|^1^|^82123690^|^276^|^423362
IsEligibleForCable^|^1^|^82123691^|^277^|^423363
IsEligibleForCable^|^1^|^82123692^|^278^|^423364
IsEligibleForCable^|^1^|^82123693^|^279^|^423365
IsEligibleForCable^|^1^|^82123694^|^280^|^423366
IsEligibleForCable^|^1^|^82123695^|^281^|^423367
IsEligibleForCable^|^1^|^82123696^|^282^|^423368
IsEligibleForCable^|^1^|^82123697^|^283^|^423369
IsEligibleForCable^|^1^|^82123698^|^284^|^423370
IsEligibleForCable^|^1^|^82123699^|^285^|^423371
IsEligibleForCable^|^1^|^82123700^|^286^|^423372
IsEligibleForCable^|^1^|^82123701^|^287^|^423373
IsEligibleForCable^|^1^|^82123702^|^288^|^423374
IsEligibleForCable^|^1^|^82123703^|^289^|^423375
IsEligibleForCable^|^1^|^82123704^|^290^|^423376
IsEligibleForCable^|^1^|^82123705^|^291^|^423377
IsEligibleForCable^|^1^|^82123706^|^292^|^423378
IsEligibleForCable^|^1^|^82123707^|^293^|^423379
IsEligibleForCable^|^1^|^82123708^|^294^|^423380
IsEligibleForCable^|^1^|^82123709^|^295^|^423381
IsEligibleForCable^|^1^|^82123710^|^296^|^423382
IsEligibleForCable^|^1^|^82123711^|^297^|^423383
IsEligibleForCable^|^1^|^82123712^|^298^|^423384
IsEligibleForCable^|^1^|^82123713^|^299^|^423385
IsEligibleForCable^|^1^|^82123714^|^300^|^423386
IsEligibleForCable^|^1^|^82123715^|^301^|^423387
IsEligibleForCable^|^1^|^82123716^|^302^|^423388
IsEligibleForCable^|^1^|^82123717^|^303^|^423389
IsEligibleForCable^|^1^|^82123718^|^304^|^423390
IsEligibleForCable^|^1^|^82123719^|^305^|^423391
IsEligibleForCable^|^1^|^82123720^|^306^|^423392
IsEligibleForCable^|^1^|^82123721^|^307^|^423393
IsEligibleForCable^|^1^|^82123722^|^308^|^423394
IsEligibleForCable^|^1^|^82123723^|^309^|^423395
IsEligibleForCable^|^1^|^82123724^|^310^|^423396
IsEligibleForCable^|^1^|^82123725^|^311^|^423397
IsEligibleForCable^|^1^|^82123726^|^312^|^423398
IsEligibleForCable^|^1^|^82123727^|^313^|^423399
IsEligibleForCable^|^1^|^82123728^|^314^|^423400
IsEligibleForCable^|^1^|^82123729^|^315^|^423401
IsEligibleForCable^|^1^|^82123730^|^316^|^423402
IsEligibleForCable^|^1^|^82123731^|^317^|^423403
IsEligibleForCable^|^1^|^82123732^|^318^|^423404
IsEligibleForCable^|^1^|^82123733^|^319^|^423405
IsEligibleForCable^|^1^|^82123734^|^320^|^423406
IsEligibleForCable^|^1^|^82123735^|^321^|^423407
IsEligibleForCable^|^1^|^82123736^|^322^|^423408
IsEligibleForCable^|^1^|^82123737^|^323^|^423409
IsEligibleForCable^|^1^|^82123738^|^324^|^423410
IsEligibleForCable^|^1^|^82123739^|^325^|^423411
IsEligibleForCable^|^1^|^82123740^|^326^|^423412
IsEligibleForCable^|^1^|^82123741^|^327^|^423413
IsEligibleForCable^|^1^|^82123742^|^328^|^423414
IsEligibleForCable^|^1^|^82123743^|^329^|^423415
IsEligibleForCable^|^1^|^82123744^|^330^|^423416
IsEligibleForCable^|^1^|^82123745^|^331^|^423417
IsEligibleForCable^|^1^|^82123746^|^332^|^423418
IsEligibleForCable^|^1^|^82123747^|^333^|^423419
IsEligibleForCable^|^1^|^82123748^|^334^|^423420
IsEligibleForCable^|^1^|^82123749^|^335^|^423421
IsEligibleForCable^|^1^|^82123750^|^336^|^423422
IsEligibleForCable^|^1^|^82123751^|^337^|^423423
IsEligibleForCable^|^1^|^82123752^|^338^|^423424
IsEligibleForCable^|^1^|^82123753^|^339^|^423425
IsEligibleForCable^|^1^|^82123754^|^340^|^423426
IsEligibleForCable^|^1^|^82123755^|^341^|^423427
IsEligibleForCable^|^1^|^82123756^|^342^|^423428
IsEligibleForCable^|^1^|^82123757^|^343^|^423429
IsEligibleForCable^|^1^|^82123758^|^344^|^423430
IsEligibleForCable^|^1^|^82123759^|^345^|^423431
IsEligibleForCable^|^1^|^82123760^|^346^|^423432
IsEligibleForCable^|^1^|^82123761^|^347^|^423433
IsEligibleForCable^|^1^|^82123762^|^348^|^423434
IsEligibleForCable^|^1^|^82123763^|^349^|^423435
IsEligibleForCable^|^1^|^82123764^|^350^|^423436
IsEligibleForCable^|^1^|^82123765^|^351^|^423437
IsEligibleForCable^|^1^|^82123766^|^352^|^423438
IsEligibleForCable^|^1^|^82123767^|^353^|^423439
IsEligibleForCable^|^1^|^82123768^|^354^|^423440
IsEligibleForCable^|^1^|^82123769^|^355^|^423441
IsEligibleForCable^|^1^|^82123770^|^356^|^423442
IsEligibleForCable^|^1^|^82123771^|^357^|^423443
IsEligibleForCable^|^1^|^82123772^|^358^|^423444
IsEligibleForCable^|^1^|^82123773^|^359^|^423445
IsEligibleForCable^|^1^|^82123774^|^360^|^423446
IsEligibleForCable^|^1^|^82123775^|^361^|^423447
IsEligibleForCable^|^1^|^82123776^|^362^|^423448
IsEligibleForCable^|^1^|^82123777^|^363^|^423449
IsEligibleForCable^|^1^|^82123778^|^364^|^423450
IsEligibleForCable^|^1^|^82123779^|^365^|^423451
IsEligibleForCable^|^1^|^82123780^|^366^|^423452
IsEligibleForCable^|^1^|^82123781^|^367^|^423453
IsEligibleForCable^|^1^|^82123782^|^368^|^423454
IsEligibleForCable^|^1^|^82123783^|^369^|^423455
IsEligibleForCable^|^1^|^82123784^|^370^|^423456
IsEligibleForCable^|^1^|^82123785^|^371^|^423457
IsEligibleForCable^|^1^|^82123786^|^372^|^423458
IsEligibleForCable^|^1^|^82123787^|^373^|^423459
IsEligibleForCable^|^1^|^82123788^|^374^|^423460
IsEligibleForCable^|^1^|^82123789^|^375^|^423461
IsEligibleForCable^|^1^|^82123790^|^376^|^423462
IsEligibleForCable^|^1^|^82123791^|^377^|^423463
IsEligibleForCable^|^1^|^82123792^|^378^|^423464
IsEligibleForCable^|^1^|^82123793^|^379^|^423465
IsEligibleForCable^|^1^|^82123794^|^380^|^423466
IsEligibleForCable^|^1^|^82123795^|^381^|^423467
IsEligibleForCable^|^1^|^82123796^|^382^|^423468
IsEligibleForCable^|^1^|^82123797^|^383^|^423469
IsEligibleForCable^|^1^|^82123798^|^384^|^423470
IsEligibleForCable^|^1^|^82123799^|^385^|^423471
IsEligibleForCable^|^1^|^82123800^|^386^|^423472
IsEligibleForCable^|^1^|^82123801^|^387^|^423473
IsEligibleForCable^|^1^|^82123802^|^388^|^423474
IsEligibleForCable^|^1^|^82123803^|^389^|^423475
IsEligibleForCable^|^1^|^82123804^|^390^|^423476
IsEligibleForCable^|^1^|^82123805^|^391^|^423477
IsEligibleForCable^|^1^|^82123806^|^392^|^423478
IsEligibleForCable^|^1^|^82123807^|^393^|^423479
IsEligibleForCable^|^1^|^82123808^|^394^|^423480
IsEligibleForCable^|^1^|^82123809^|^395^|^423481
IsEligibleForCable^|^1^|^82123810^|^396^|^423482
IsEligibleForCable^|^1^|^82123811^|^397^|^423483
IsEligibleForCable^|^1^|^82123812^|^398^|^423484
IsEligibleForCable^|^1^|^82123813^|^399^|^423485
IsEligibleForCable^|^1^|^82123814^|^400^|^423486
IsEligibleForCable^|^1^|^82123815^|^401^|^423487
IsEligibleForCable^|^1^|^82123816^|^402^|^423488
IsEligibleForCable^|^1^|^82123817^|^403^|^423489
IsEligibleForCable^|^1^|^82123818^|^404^|^423490
IsEligibleForCable^|^1^|^82123819^|^405^|^423491
IsEligibleForCable^|^1^|^82123820^|^406^|^423492
IsEligibleForCable^|^1^|^82123821^|^407^|^423493
IsEligibleForCable^|^1^|^82123822^|^408^|^423494
IsEligibleForCable^|^1^|^82123823^|^409^|^423495
IsEligibleForCable^|^1^|^82123824^|^410^|^423496
IsEligibleForCable^|^1^|^82123825^|^411^|^423497
IsEligibleForCable^|^1^|^82123826^|^412^|^423498
IsEligibleForCable^|^1^|^82123827^|^413^|^423499
IsEligibleForCable^|^1^|^82123828^|^414^|^423500
IsEligibleForCable^|^1^|^82123829^|^415^|^423501
IsEligibleForCable^|^1^|^82123830^|^416^|^423502
IsEligibleForCable^|^1^|^82123831^|^417^|^423503
IsEligibleForCable^|^1^|^82123832^|^418^|^423504
IsEligibleForCable^|^1^|^82123833^|^419^|^423505
IsEligibleForCable^|^1^|^82123834^|^420^|^423506
IsEligibleForCable^|^1^|^82123835^|^421^|^423507
IsEligibleForCable^|^1^|^82123836^|^422^|^423508
IsEligibleForCable^|^1^|^82123837^|^423^|^423509
IsEligibleForCable^|^1^|^82123838^|^424^|^423510
IsEligibleForCable^|^1^|^82123839^|^425^|^423511
IsEligibleForCable^|^1^|^82123840^|^426^|^423512
IsEligibleForCable^|^1^|^82123841^|^427^|^423513
IsEligibleForCable^|^1^|^82123842^|^428^|^423514
IsEligibleForCable^|^1^|^82123843^|^429^|^423515
IsEligibleForCable^|^1^|^82123844^|^430^|^423516
IsEligibleForCable^|^1^|^82123845^|^431^|^423517
IsEligibleForCable^|^1^|^82123846^|^432^|^423518
IsEligibleForCable^|^1^|^82123847^|^433^|^423519
IsEligibleForCable^|^1^|^82123848^|^434^|^423520
IsEligibleForCable^|^1^|^82123849^|^435^|^423521
IsEligibleForCable^|^1^|^82123850^|^436^|^423522
IsEligibleForCable^|^1^|^82123851^|^437^|^423523
IsEligibleForCable^|^1^|^82123852^|^438^|^423524
IsEligibleForCable^|^1^|^82123853^|^439^|^423525
IsEligibleForCable^|^1^|^82123854^|^440^|^423526
IsEligibleForCable^|^1^|^82123855^|^441^|^423527
IsEligibleForCable^|^1^|^82123856^|^442^|^423528
IsEligibleForCable^|^1^|^82123857^|^443^|^423529
IsEligibleForCable^|^1^|^82123858^|^444^|^423530
IsEligibleForCable^|^1^|^82123859^|^445^|^423531
IsEligibleForCable^|^1^|^82123860^|^446^|^423532
IsEligibleForCable^|^1^|^82123861^|^447^|^423533
IsEligibleForCable^|^1^|^82123862^|^448^|^423534
IsEligibleForCable^|^1^|^82123863^|^449^|^423535
IsEligibleForCable^|^1^|^82123864^|^450^|^423536
IsEligibleForCable^|^1^|^82123865^|^451^|^423537
IsEligibleForCable^|^1^|^82123866^|^452^|^423538
IsEligibleForCable^|^1^|^82123867^|^453^|^423539
IsEligibleForCable^|^1^|^82123868^|^454^|^423540
IsEligibleForCable^|^1^|^82123869^|^455^|^423541
IsEligibleForCable^|^1^|^82123870^|^456^|^423542
IsEligibleForCable^|^1^|^82123871^|^457^|^423543
IsEligibleForCable^|^1^|^82123872^|^458^|^423544
IsEligibleForCable^|^1^|^82123873^|^459^|^423545
IsEligibleForCable^|^1^|^82123874^|^460^|^423546
IsEligibleForCable^|^1^|^82123875^|^461^|^423547
IsEligibleForCable^|^1^|^82123876^|^462^|^423548
IsEligibleForCable^|^1^|^82123877^|^463^|^423549
IsEligibleForCable^|^1^|^82123878^|^464^|^423550
IsEligibleForCable^|^1^|^82123879^|^465^|^423551
IsEligibleForCable^|^1^|^82123880^|^466^|^423552
IsEligibleForCable^|^1^|^82123881^|^467^|^423553
IsEligibleForCable^|^1^|^82123882^|^468^|^423554
IsEligibleForCable^|^1^|^82123883^|^469^|^423555
IsEligibleForCable^|^1^|^82123884^|^470^|^423556
IsEligibleForCable^|^1^|^82123885^|^471^|^423557
IsEligibleForCable^|^1^|^82123886^|^472^|^423558
IsEligibleForCable^|^1^|^82123887^|^473^|^423559
IsEligibleForCable^|^1^|^82123888^|^474^|^423560
IsEligibleForCable^|^1^|^82123889^|^475^|^423561
IsEligibleForCable^|^1^|^82123890^|^476^|^423562
IsEligibleForCable^|^1^|^82123891^|^477^|^423563
IsEligibleForCable^|^1^|^82123892^|^478^|^423564
IsEligibleForCable^|^1^|^82123893^|^479^|^423565
IsEligibleForCable^|^1^|^82123894^|^480^|^423566
IsEligibleForCable^|^1^|^82123895^|^481^|^423567
IsEligibleForCable^|^1^|^82123896^|^482^|^423568
IsEligibleForCable^|^1^|^82123897^|^483^|^423569
IsEligibleForCable^|^1^|^82123898^|^484^|^423570
IsEligibleForCable^|^1^|^82123899^|^485^|^423571
IsEligibleForCable^|^1^|^82123900^|^486^|^423572
IsEligibleForCable^|^1^|^82123901^|^487^|^423573
IsEligibleForCable^|^1^|^82123902^|^488^|^423574
IsEligibleForCable^|^1^|^82123903^|^489^|^423575
IsEligibleForCable^|^1^|^82123904^|^490^|^423576
IsEligibleForCable^|^1^|^82123905^|^491^|^423577
IsEligibleForCable^|^1^|^82123906^|^492^|^423578
IsEligibleForCable^|^1^|^82123907^|^493^|^423579
IsEligibleForCable^|^1^|^82123908^|^494^|^423580
IsEligibleForCable^|^1^|^82123909^|^495^|^423581
IsEligibleForCable^|^1^|^82123910^|^496^|^423582
IsEligibleForCable^|^1^|^82123911^|^497^|^423583
IsEligibleForCable^|^1^|^82123912^|^498^|^423584
IsEligibleForCable^|^1^|^82123913^|^499^|^423585
IsEligibleForCable^|^1^|^82123914^|^500^|^423586
IsEligibleForCable^|^1^|^82123915^|^501^|^423587
IsEligibleForCable^|^1^|^82123916^|^502^|^423588
IsEligibleForCable^|^1^|^82123917^|^503^|^423589
IsEligibleForCable^|^1^|^82123918^|^504^|^423590
IsEligibleForCable^|^1^|^82123919^|^505^|^423591
IsEligibleForCable^|^1^|^82123920^|^506^|^423592
IsEligibleForCable^|^1^|^82123921^|^507^|^423593
IsEligibleForCable^|^1^|^82123922^|^508^|^423594
IsEligibleForCable^|^1^|^82123923^|^509^|^423595
IsEligibleForCable^|^1^|^82123924^|^510^|^423596
IsEligibleForCable^|^1^|^82123925^|^511^|^423597
IsEligibleForCable^|^1^|^82123926^|^512^|^423598
IsEligibleForCable^|^1^|^82123927^|^513^|^423599
IsEligibleForCable^|^1^|^82123928^|^514^|^423600
IsEligibleForCable^|^1^|^82123929^|^515^|^423601
IsEligibleForCable^|^1^|^82123930^|^516^|^423602
IsEligibleForCable^|^1^|^82123931^|^517^|^423603
IsEligibleForCable^|^1^|^82123932^|^518^|^423604
IsEligibleForCable^|^1^|^82123933^|^519^|^423605
IsEligibleForCable^|^1^|^82123934^|^520^|^423606
IsEligibleForCable^|^1^|^82123935^|^521^|^423607
IsEligibleForCable^|^1^|^82123936^|^522^|^423608
IsEligibleForCable^|^1^|^82123937^|^523^|^423609
IsEligibleForCable^|^1^|^82123938^|^524^|^423610
IsEligibleForCable^|^1^|^82123939^|^525^|^423611
IsEligibleForCable^|^1^|^82123940^|^526^|^423612
