sc_id^|^sc_valid_from_date^|^sc_valid_until_date^|^sc_num^|^sc_name^|^sc_orig_num^|^sc_eff_date^|^sc_expire_date^|^sc_ident_type_cd^|^sc_ident1_num^|^sc_ident2_num^|^sc_ident3_num^|^sc_cust_rel_role_cd
81^|^20170616^|^20920222^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180524^|^20190220^|^SCI^|^1694498^|^1694498^|^1694498^|^D
82^|^20131018^|^20950525^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180220^|^20190401^|^SCI^|^1694498^|^1694498^|^1694498^|^D
83^|^20150223^|^20960725^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180531^|^20190816^|^SCI^|^1694498^|^1694498^|^1694498^|^D
84^|^20120617^|^20930322^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180810^|^20190815^|^SCI^|^1694498^|^1694498^|^1694498^|^D
85^|^20140716^|^20970306^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180404^|^20190125^|^SCI^|^1694498^|^1694498^|^1694498^|^D
86^|^20110127^|^20951230^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181013^|^20190419^|^SCI^|^1694498^|^1694498^|^1694498^|^D
87^|^20130105^|^20940111^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181027^|^20190618^|^SCI^|^1694498^|^1694498^|^1694498^|^D
88^|^20160917^|^20920629^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180403^|^20190620^|^SCI^|^1694498^|^1694498^|^1694498^|^D
89^|^20111208^|^20911211^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180711^|^20190325^|^SCI^|^1694498^|^1694498^|^1694498^|^D
90^|^20160312^|^20990530^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180528^|^20190302^|^SCI^|^1694498^|^1694498^|^1694498^|^D
91^|^20170404^|^20960727^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180217^|^20190303^|^SCI^|^1694498^|^1694498^|^1694498^|^D
92^|^20101213^|^20910320^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180224^|^20190808^|^SCI^|^1694498^|^1694498^|^1694498^|^D
93^|^20161023^|^20960107^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180201^|^20190910^|^SCI^|^1694498^|^1694498^|^1694498^|^D
94^|^20150531^|^20930113^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180924^|^20190210^|^SCI^|^1694498^|^1694498^|^1694498^|^D
95^|^20110120^|^20920618^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180527^|^20190330^|^SCI^|^1694498^|^1694498^|^1694498^|^D
96^|^20110719^|^20940326^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180919^|^20191226^|^SCI^|^1694498^|^1694498^|^1694498^|^D
97^|^20131120^|^20920704^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180716^|^20190630^|^SCI^|^1694498^|^1694498^|^1694498^|^D
98^|^20120511^|^20901230^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180322^|^20191019^|^SCI^|^1694498^|^1694498^|^1694498^|^D
99^|^20150708^|^20970130^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180907^|^20190522^|^SCI^|^1694498^|^1694498^|^1694498^|^D
100^|^20130416^|^20920321^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180721^|^20191030^|^SCI^|^1694498^|^1694498^|^1694498^|^D
101^|^20150421^|^20920210^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181213^|^20190829^|^SCI^|^1694498^|^1694498^|^1694498^|^D
102^|^20160426^|^20960603^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181214^|^20190826^|^SCI^|^1694498^|^1694498^|^1694498^|^D
103^|^20131027^|^20951223^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180210^|^20191106^|^SCI^|^1694498^|^1694498^|^1694498^|^D
104^|^20140401^|^20910314^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181107^|^20190706^|^SCI^|^1694498^|^1694498^|^1694498^|^D
105^|^20130612^|^20990310^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180612^|^20190516^|^SCI^|^1694498^|^1694498^|^1694498^|^D
106^|^20150807^|^20930727^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181011^|^20190815^|^SCI^|^1694498^|^1694498^|^1694498^|^D
107^|^20131008^|^20901219^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180816^|^20190520^|^SCI^|^1694498^|^1694498^|^1694498^|^D
108^|^20160518^|^20930505^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180106^|^20190608^|^SCI^|^1694498^|^1694498^|^1694498^|^D
109^|^20111003^|^20950723^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180509^|^20191229^|^SCI^|^1694498^|^1694498^|^1694498^|^D
110^|^20140213^|^20941022^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181203^|^20190729^|^SCI^|^1694498^|^1694498^|^1694498^|^D
111^|^20160220^|^20940223^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180227^|^20190922^|^SCI^|^1694498^|^1694498^|^1694498^|^D
112^|^20140109^|^20940415^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180626^|^20190206^|^SCI^|^1694498^|^1694498^|^1694498^|^D
113^|^20160424^|^20910303^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180721^|^20190713^|^SCI^|^1694498^|^1694498^|^1694498^|^D
114^|^20131216^|^20910302^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180731^|^20190101^|^SCI^|^1694498^|^1694498^|^1694498^|^D
115^|^20140126^|^20950824^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180714^|^20191117^|^SCI^|^1694498^|^1694498^|^1694498^|^D
116^|^20130703^|^20910121^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181014^|^20190729^|^SCI^|^1694498^|^1694498^|^1694498^|^D
117^|^20170119^|^20930420^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180103^|^20191026^|^SCI^|^1694498^|^1694498^|^1694498^|^D
118^|^20120103^|^20980427^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181112^|^20190512^|^SCI^|^1694498^|^1694498^|^1694498^|^D
119^|^20110819^|^20990312^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180113^|^20191108^|^SCI^|^1694498^|^1694498^|^1694498^|^D
120^|^20131031^|^20960822^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180618^|^20190402^|^SCI^|^1694498^|^1694498^|^1694498^|^D
121^|^20130124^|^20931203^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181204^|^20190905^|^SCI^|^1694498^|^1694498^|^1694498^|^D
122^|^20140414^|^20951013^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180822^|^20190517^|^SCI^|^1694498^|^1694498^|^1694498^|^D
123^|^20140413^|^20960501^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180831^|^20190527^|^SCI^|^1694498^|^1694498^|^1694498^|^D
124^|^20150918^|^20971205^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180907^|^20190303^|^SCI^|^1694498^|^1694498^|^1694498^|^D
125^|^20140116^|^20911223^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181004^|^20190811^|^SCI^|^1694498^|^1694498^|^1694498^|^D
126^|^20130628^|^20930429^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180710^|^20190803^|^SCI^|^1694498^|^1694498^|^1694498^|^D
127^|^20160626^|^20991018^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180610^|^20190602^|^SCI^|^1694498^|^1694498^|^1694498^|^D
128^|^20170723^|^20961004^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180508^|^20190304^|^SCI^|^1694498^|^1694498^|^1694498^|^D
129^|^20141208^|^20990913^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180225^|^20190621^|^SCI^|^1694498^|^1694498^|^1694498^|^D
130^|^20120413^|^20940908^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181203^|^20190105^|^SCI^|^1694498^|^1694498^|^1694498^|^D
131^|^20121220^|^20990318^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180117^|^20191210^|^SCI^|^1694498^|^1694498^|^1694498^|^D
132^|^20150421^|^20950718^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180122^|^20190113^|^SCI^|^1694498^|^1694498^|^1694498^|^D
133^|^20170617^|^20951130^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180228^|^20190204^|^SCI^|^1694498^|^1694498^|^1694498^|^D
134^|^20110921^|^20940328^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180712^|^20190530^|^SCI^|^1694498^|^1694498^|^1694498^|^D
135^|^20150113^|^20960825^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181001^|^20190408^|^SCI^|^1694498^|^1694498^|^1694498^|^D
136^|^20130926^|^20940508^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181016^|^20191103^|^SCI^|^1694498^|^1694498^|^1694498^|^D
137^|^20120810^|^20970910^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180715^|^20190219^|^SCI^|^1694498^|^1694498^|^1694498^|^D
138^|^20131017^|^20950505^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180906^|^20190406^|^SCI^|^1694498^|^1694498^|^1694498^|^D
139^|^20150706^|^20930307^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180524^|^20191201^|^SCI^|^1694498^|^1694498^|^1694498^|^D
140^|^20160913^|^20941214^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180613^|^20190225^|^SCI^|^1694498^|^1694498^|^1694498^|^D
141^|^20150208^|^20930909^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180331^|^20190213^|^SCI^|^1694498^|^1694498^|^1694498^|^D
142^|^20110402^|^20980120^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180219^|^20191102^|^SCI^|^1694498^|^1694498^|^1694498^|^D
143^|^20151027^|^20970527^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180703^|^20190415^|^SCI^|^1694498^|^1694498^|^1694498^|^D
144^|^20150701^|^20910511^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180923^|^20190530^|^SCI^|^1694498^|^1694498^|^1694498^|^D
145^|^20141018^|^20940905^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180512^|^20191110^|^SCI^|^1694498^|^1694498^|^1694498^|^D
146^|^20120205^|^20931013^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180719^|^20190818^|^SCI^|^1694498^|^1694498^|^1694498^|^D
147^|^20161117^|^20990714^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180203^|^20191024^|^SCI^|^1694498^|^1694498^|^1694498^|^D
148^|^20160526^|^20920630^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180608^|^20191207^|^SCI^|^1694498^|^1694498^|^1694498^|^D
149^|^20110112^|^20970709^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180314^|^20190401^|^SCI^|^1694498^|^1694498^|^1694498^|^D
150^|^20140508^|^20940530^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180404^|^20191018^|^SCI^|^1694498^|^1694498^|^1694498^|^D
151^|^20110611^|^20911225^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180415^|^20191207^|^SCI^|^1694498^|^1694498^|^1694498^|^D
152^|^20130913^|^20940831^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180815^|^20190910^|^SCI^|^1694498^|^1694498^|^1694498^|^D
153^|^20121213^|^20980217^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181222^|^20190718^|^SCI^|^1694498^|^1694498^|^1694498^|^D
154^|^20120408^|^20940826^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181220^|^20190709^|^SCI^|^1694498^|^1694498^|^1694498^|^D
155^|^20111109^|^20990106^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180813^|^20191217^|^SCI^|^1694498^|^1694498^|^1694498^|^D
156^|^20160727^|^20981020^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181213^|^20191125^|^SCI^|^1694498^|^1694498^|^1694498^|^D
157^|^20150603^|^20921027^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180227^|^20190227^|^SCI^|^1694498^|^1694498^|^1694498^|^D
158^|^20150728^|^20990413^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181008^|^20190223^|^SCI^|^1694498^|^1694498^|^1694498^|^D
159^|^20130603^|^20910730^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181108^|^20191217^|^SCI^|^1694498^|^1694498^|^1694498^|^D
160^|^20140310^|^20920926^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180709^|^20190213^|^SCI^|^1694498^|^1694498^|^1694498^|^D
161^|^20140818^|^20920531^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181020^|^20190930^|^SCI^|^1694498^|^1694498^|^1694498^|^D
162^|^20101213^|^20951002^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180930^|^20190413^|^SCI^|^1694498^|^1694498^|^1694498^|^D
163^|^20161006^|^20930421^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180109^|^20190215^|^SCI^|^1694498^|^1694498^|^1694498^|^D
164^|^20140406^|^20960816^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180731^|^20190817^|^SCI^|^1694498^|^1694498^|^1694498^|^D
165^|^20110905^|^20940502^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181220^|^20190909^|^SCI^|^1694498^|^1694498^|^1694498^|^D
166^|^20140424^|^20970217^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180717^|^20190606^|^SCI^|^1694498^|^1694498^|^1694498^|^D
167^|^20111122^|^20970413^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181007^|^20191118^|^SCI^|^1694498^|^1694498^|^1694498^|^D
168^|^20121011^|^20970910^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180705^|^20191213^|^SCI^|^1694498^|^1694498^|^1694498^|^D
169^|^20151221^|^20910413^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180904^|^20191114^|^SCI^|^1694498^|^1694498^|^1694498^|^D
170^|^20140614^|^20940513^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180415^|^20190907^|^SCI^|^1694498^|^1694498^|^1694498^|^D
171^|^20110115^|^20980804^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180726^|^20191227^|^SCI^|^1694498^|^1694498^|^1694498^|^D
172^|^20140421^|^20921207^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181219^|^20190527^|^SCI^|^1694498^|^1694498^|^1694498^|^D
173^|^20160914^|^20980424^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181216^|^20190501^|^SCI^|^1694498^|^1694498^|^1694498^|^D
174^|^20170407^|^20981108^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180615^|^20191210^|^SCI^|^1694498^|^1694498^|^1694498^|^D
175^|^20110125^|^20971204^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180308^|^20190317^|^SCI^|^1694498^|^1694498^|^1694498^|^D
176^|^20111013^|^20930706^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180910^|^20190409^|^SCI^|^1694498^|^1694498^|^1694498^|^D
177^|^20120414^|^20931121^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180306^|^20190107^|^SCI^|^1694498^|^1694498^|^1694498^|^D
178^|^20130130^|^20940817^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180712^|^20190119^|^SCI^|^1694498^|^1694498^|^1694498^|^D
179^|^20111223^|^20910331^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180924^|^20190306^|^SCI^|^1694498^|^1694498^|^1694498^|^D
180^|^20130907^|^20930326^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181026^|^20191106^|^SCI^|^1694498^|^1694498^|^1694498^|^D
181^|^20141115^|^20981010^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180429^|^20190516^|^SCI^|^1694498^|^1694498^|^1694498^|^D
182^|^20170830^|^20970126^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180531^|^20191203^|^SCI^|^1694498^|^1694498^|^1694498^|^D
183^|^20161215^|^20990731^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181001^|^20190530^|^SCI^|^1694498^|^1694498^|^1694498^|^D
184^|^20121222^|^20990222^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181216^|^20190817^|^SCI^|^1694498^|^1694498^|^1694498^|^D
185^|^20160826^|^20970627^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180725^|^20190901^|^SCI^|^1694498^|^1694498^|^1694498^|^D
186^|^20160319^|^20960706^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180328^|^20191021^|^SCI^|^1694498^|^1694498^|^1694498^|^D
187^|^20160205^|^20950921^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180709^|^20191217^|^SCI^|^1694498^|^1694498^|^1694498^|^D
188^|^20161024^|^20980822^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180817^|^20191114^|^SCI^|^1694498^|^1694498^|^1694498^|^D
189^|^20131005^|^20920504^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180708^|^20190501^|^SCI^|^1694498^|^1694498^|^1694498^|^D
190^|^20121020^|^20910807^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180316^|^20191130^|^SCI^|^1694498^|^1694498^|^1694498^|^D
191^|^20150324^|^20971019^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181127^|^20190731^|^SCI^|^1694498^|^1694498^|^1694498^|^D
192^|^20170113^|^20940613^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180728^|^20190216^|^SCI^|^1694498^|^1694498^|^1694498^|^D
193^|^20171030^|^20930302^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180411^|^20191126^|^SCI^|^1694498^|^1694498^|^1694498^|^D
194^|^20121229^|^20960915^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181125^|^20190123^|^SCI^|^1694498^|^1694498^|^1694498^|^D
195^|^20131016^|^20930703^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180605^|^20190927^|^SCI^|^1694498^|^1694498^|^1694498^|^D
196^|^20160329^|^20980219^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180217^|^20190515^|^SCI^|^1694498^|^1694498^|^1694498^|^D
197^|^20110119^|^20980904^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181011^|^20190604^|^SCI^|^1694498^|^1694498^|^1694498^|^D
198^|^20120621^|^20930915^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180128^|^20190204^|^SCI^|^1694498^|^1694498^|^1694498^|^D
199^|^20161113^|^20960710^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180909^|^20191115^|^SCI^|^1694498^|^1694498^|^1694498^|^D
200^|^20170731^|^20961003^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180114^|^20191111^|^SCI^|^1694498^|^1694498^|^1694498^|^D
201^|^20110612^|^20910227^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180820^|^20190422^|^SCI^|^1694498^|^1694498^|^1694498^|^D
202^|^20141207^|^20921116^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180106^|^20190210^|^SCI^|^1694498^|^1694498^|^1694498^|^D
203^|^20170319^|^20931110^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180729^|^20190429^|^SCI^|^1694498^|^1694498^|^1694498^|^D
204^|^20160214^|^20950413^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180820^|^20190719^|^SCI^|^1694498^|^1694498^|^1694498^|^D
205^|^20131104^|^20940314^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180526^|^20190714^|^SCI^|^1694498^|^1694498^|^1694498^|^D
206^|^20170322^|^20990326^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180707^|^20190409^|^SCI^|^1694498^|^1694498^|^1694498^|^D
207^|^20140318^|^20921020^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180204^|^20190911^|^SCI^|^1694498^|^1694498^|^1694498^|^D
208^|^20110531^|^20940628^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180527^|^20190528^|^SCI^|^1694498^|^1694498^|^1694498^|^D
209^|^20120916^|^20920313^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180511^|^20191111^|^SCI^|^1694498^|^1694498^|^1694498^|^D
210^|^20150402^|^20920604^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180826^|^20191014^|^SCI^|^1694498^|^1694498^|^1694498^|^D
211^|^20150907^|^20930805^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181209^|^20190104^|^SCI^|^1694498^|^1694498^|^1694498^|^D
212^|^20160518^|^20931116^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180129^|^20190820^|^SCI^|^1694498^|^1694498^|^1694498^|^D
213^|^20140803^|^20931113^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180510^|^20191221^|^SCI^|^1694498^|^1694498^|^1694498^|^D
214^|^20150807^|^20930817^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181220^|^20191213^|^SCI^|^1694498^|^1694498^|^1694498^|^D
215^|^20161206^|^20980930^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181227^|^20190803^|^SCI^|^1694498^|^1694498^|^1694498^|^D
216^|^20161019^|^20910813^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180911^|^20190404^|^SCI^|^1694498^|^1694498^|^1694498^|^D
217^|^20170707^|^20950710^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180510^|^20190916^|^SCI^|^1694498^|^1694498^|^1694498^|^D
218^|^20140628^|^20960613^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180708^|^20191219^|^SCI^|^1694498^|^1694498^|^1694498^|^D
219^|^20170619^|^20951001^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180310^|^20191111^|^SCI^|^1694498^|^1694498^|^1694498^|^D
220^|^20130113^|^20990220^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181217^|^20190409^|^SCI^|^1694498^|^1694498^|^1694498^|^D
221^|^20141217^|^20920630^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180325^|^20191015^|^SCI^|^1694498^|^1694498^|^1694498^|^D
222^|^20121019^|^20980802^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180828^|^20191203^|^SCI^|^1694498^|^1694498^|^1694498^|^D
223^|^20170210^|^20950129^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180610^|^20190826^|^SCI^|^1694498^|^1694498^|^1694498^|^D
