name^|^time_period_cd^|^status_cnt_per_period^|^contactlist_id
Booked^|^184^|^118^|^2345
Notreached^|^185^|^119^|^2345
Sold^|^186^|^120^|^2345
Reached^|^187^|^121^|^2345
Sold^|^188^|^122^|^2345
Reached^|^189^|^123^|^2345
Reached^|^190^|^124^|^2345
Booked^|^191^|^125^|^2345
Reached^|^192^|^126^|^2345
Sold^|^193^|^127^|^2345
Reached^|^194^|^128^|^2345
Notreached^|^195^|^129^|^2345
Sold^|^196^|^130^|^2345
Sold^|^197^|^131^|^2345
Booked^|^198^|^132^|^2345
Sold^|^199^|^133^|^2345
Sold^|^200^|^134^|^2345
Booked^|^201^|^135^|^2345
Reached^|^202^|^136^|^2345
Notreached^|^203^|^137^|^2345
Sold^|^204^|^138^|^2345
Booked^|^205^|^139^|^2345
Sold^|^206^|^140^|^2345
Reached^|^207^|^141^|^2345
Reached^|^208^|^142^|^2345
Notreached^|^209^|^143^|^2345
Reached^|^210^|^144^|^2345
Notreached^|^211^|^145^|^2345
Sold^|^212^|^146^|^2345
Booked^|^213^|^147^|^2345
Notreached^|^214^|^148^|^2345
Reached^|^215^|^149^|^2345
Booked^|^216^|^150^|^2345
Booked^|^217^|^151^|^2345
Sold^|^218^|^152^|^2345
Sold^|^219^|^153^|^2345
Sold^|^220^|^154^|^2345
Booked^|^221^|^155^|^2345
Reached^|^222^|^156^|^2345
Reached^|^223^|^157^|^2345
Notreached^|^224^|^158^|^2345
Notreached^|^225^|^159^|^2345
Reached^|^226^|^160^|^2345
Booked^|^227^|^161^|^2345
Reached^|^228^|^162^|^2345
Notreached^|^229^|^163^|^2345
Reached^|^230^|^164^|^2345
Notreached^|^231^|^165^|^2345
Booked^|^232^|^166^|^2345
Booked^|^233^|^167^|^2345
Reached^|^234^|^168^|^2345
Reached^|^235^|^169^|^2345
Notreached^|^236^|^170^|^2345
Reached^|^237^|^171^|^2345
Sold^|^238^|^172^|^2345
Reached^|^239^|^173^|^2345
Booked^|^240^|^174^|^2345
Sold^|^241^|^175^|^2345
Booked^|^242^|^176^|^2345
Reached^|^243^|^177^|^2345
Reached^|^244^|^178^|^2345
Sold^|^245^|^179^|^2345
Booked^|^246^|^180^|^2345
Reached^|^247^|^181^|^2345
Notreached^|^248^|^182^|^2345
Notreached^|^249^|^183^|^2345
Reached^|^250^|^184^|^2345
Sold^|^251^|^185^|^2345
Sold^|^252^|^186^|^2345
Notreached^|^253^|^187^|^2345
Notreached^|^254^|^188^|^2345
Sold^|^255^|^189^|^2345
Notreached^|^256^|^190^|^2345
Booked^|^257^|^191^|^2345
Booked^|^258^|^192^|^2345
Notreached^|^259^|^193^|^2345
Reached^|^260^|^194^|^2345
Sold^|^261^|^195^|^2345
Notreached^|^262^|^196^|^2345
Booked^|^263^|^197^|^2345
Notreached^|^264^|^198^|^2345
Notreached^|^265^|^199^|^2345
Notreached^|^266^|^200^|^2345
Booked^|^267^|^201^|^2345
Booked^|^268^|^202^|^2345
Reached^|^269^|^203^|^2345
Notreached^|^270^|^204^|^2345
Reached^|^271^|^205^|^2345
Notreached^|^272^|^206^|^2345
Reached^|^273^|^207^|^2345
Notreached^|^274^|^208^|^2345
Booked^|^275^|^209^|^2345
Notreached^|^276^|^210^|^2345
Booked^|^277^|^211^|^2345
Sold^|^278^|^212^|^2345
Booked^|^279^|^213^|^2345
Notreached^|^280^|^214^|^2345
Booked^|^281^|^215^|^2345
Reached^|^282^|^216^|^2345
Notreached^|^283^|^217^|^2345
Notreached^|^284^|^218^|^2345
Booked^|^285^|^219^|^2345
Sold^|^286^|^220^|^2345
Booked^|^287^|^221^|^2345
Reached^|^288^|^222^|^2345
Reached^|^289^|^223^|^2345
Sold^|^290^|^224^|^2345
Booked^|^291^|^225^|^2345
Reached^|^292^|^226^|^2345
Notreached^|^293^|^227^|^2345
Notreached^|^294^|^228^|^2345
Reached^|^295^|^229^|^2345
Reached^|^296^|^230^|^2345
Reached^|^297^|^231^|^2345
Notreached^|^298^|^232^|^2345
Notreached^|^299^|^233^|^2345
Notreached^|^300^|^234^|^2345
Booked^|^301^|^235^|^2345
Sold^|^302^|^236^|^2345
Notreached^|^303^|^237^|^2345
Sold^|^304^|^238^|^2345
Sold^|^305^|^239^|^2345
Reached^|^306^|^240^|^2345
Sold^|^307^|^241^|^2345
Reached^|^308^|^242^|^2345
Booked^|^309^|^243^|^2345
Booked^|^310^|^244^|^2345
Booked^|^311^|^245^|^2345
Reached^|^312^|^246^|^2345
Notreached^|^313^|^247^|^2345
Reached^|^314^|^248^|^2345
Notreached^|^315^|^249^|^2345
Reached^|^316^|^250^|^2345
Booked^|^317^|^251^|^2345
Booked^|^318^|^252^|^2345
Sold^|^319^|^253^|^2345
Sold^|^320^|^254^|^2345
Reached^|^321^|^255^|^2345
Reached^|^322^|^256^|^2345
Booked^|^323^|^257^|^2345
Reached^|^324^|^258^|^2345
Reached^|^325^|^259^|^2345
Reached^|^326^|^260^|^2345
Booked^|^327^|^261^|^2345
Booked^|^328^|^262^|^2345
Booked^|^329^|^263^|^2345
Sold^|^330^|^264^|^2345
Sold^|^331^|^265^|^2345
Notreached^|^332^|^266^|^2345
Reached^|^333^|^267^|^2345
Sold^|^334^|^268^|^2345
Notreached^|^335^|^269^|^2345
Sold^|^336^|^270^|^2345
Booked^|^337^|^271^|^2345
Booked^|^338^|^272^|^2345
Reached^|^339^|^273^|^2345
Notreached^|^340^|^274^|^2345
Notreached^|^341^|^275^|^2345
Notreached^|^342^|^276^|^2345
Reached^|^343^|^277^|^2345
Booked^|^344^|^278^|^2345
Sold^|^345^|^279^|^2345
Sold^|^346^|^280^|^2345
Notreached^|^347^|^281^|^2345
Booked^|^348^|^282^|^2345
Reached^|^349^|^283^|^2345
Notreached^|^350^|^284^|^2345
Sold^|^351^|^285^|^2345
Booked^|^352^|^286^|^2345
Booked^|^353^|^287^|^2345
Notreached^|^354^|^288^|^2345
Notreached^|^355^|^289^|^2345
Reached^|^356^|^290^|^2345
Reached^|^357^|^291^|^2345
Notreached^|^358^|^292^|^2345
Booked^|^359^|^293^|^2345
Reached^|^360^|^294^|^2345
Booked^|^361^|^295^|^2345
Booked^|^362^|^296^|^2345
Notreached^|^363^|^297^|^2345
Booked^|^364^|^298^|^2345
Notreached^|^365^|^299^|^2345
Notreached^|^366^|^300^|^2345
Sold^|^367^|^301^|^2345
Sold^|^368^|^302^|^2345
Booked^|^369^|^303^|^2345
Booked^|^370^|^304^|^2345
Sold^|^371^|^305^|^2345
Booked^|^372^|^306^|^2345
Booked^|^373^|^307^|^2345
Notreached^|^374^|^308^|^2345
Booked^|^375^|^309^|^2345
Booked^|^376^|^310^|^2345
Reached^|^377^|^311^|^2345
Booked^|^378^|^312^|^2345
Booked^|^379^|^313^|^2345
Notreached^|^380^|^314^|^2345
Notreached^|^381^|^315^|^2345
Booked^|^382^|^316^|^2345
Notreached^|^383^|^317^|^2345
Booked^|^384^|^318^|^2345
Notreached^|^385^|^319^|^2345
Notreached^|^386^|^320^|^2345
Notreached^|^387^|^321^|^2345
Sold^|^388^|^322^|^2345
Sold^|^389^|^323^|^2345
Booked^|^390^|^324^|^2345
Reached^|^391^|^325^|^2345
Reached^|^392^|^326^|^2345
Sold^|^393^|^327^|^2345
Sold^|^394^|^328^|^2345
Sold^|^395^|^329^|^2345
Reached^|^396^|^330^|^2345
Reached^|^397^|^331^|^2345
Reached^|^398^|^332^|^2345
Sold^|^399^|^333^|^2345
Sold^|^400^|^334^|^2345
Reached^|^401^|^335^|^2345
Notreached^|^402^|^336^|^2345
Notreached^|^403^|^337^|^2345
Reached^|^404^|^338^|^2345
Sold^|^405^|^339^|^2345
Sold^|^406^|^340^|^2345
Reached^|^407^|^341^|^2345
Sold^|^408^|^342^|^2345
Notreached^|^409^|^343^|^2345
Reached^|^410^|^344^|^2345
Booked^|^411^|^345^|^2345
Reached^|^412^|^346^|^2345
Notreached^|^413^|^347^|^2345
Sold^|^414^|^348^|^2345
Notreached^|^415^|^349^|^2345
Booked^|^416^|^350^|^2345
Notreached^|^417^|^351^|^2345
Notreached^|^418^|^352^|^2345
Sold^|^419^|^353^|^2345
Sold^|^420^|^354^|^2345
Sold^|^421^|^355^|^2345
Reached^|^422^|^356^|^2345
Notreached^|^423^|^357^|^2345
Notreached^|^424^|^358^|^2345
Sold^|^425^|^359^|^2345
Reached^|^426^|^360^|^2345
Sold^|^427^|^361^|^2345
Reached^|^428^|^362^|^2345
Sold^|^429^|^363^|^2345
Reached^|^430^|^364^|^2345
Reached^|^431^|^365^|^2345
Reached^|^432^|^366^|^2345
Notreached^|^433^|^367^|^2345
Reached^|^434^|^368^|^2345
Notreached^|^435^|^369^|^2345
Reached^|^436^|^370^|^2345
Reached^|^437^|^371^|^2345
Booked^|^438^|^372^|^2345
Sold^|^439^|^373^|^2345
Booked^|^440^|^374^|^2345
Sold^|^441^|^375^|^2345
Sold^|^442^|^376^|^2345
Reached^|^443^|^377^|^2345
Sold^|^444^|^378^|^2345
Booked^|^445^|^379^|^2345
Reached^|^446^|^380^|^2345
Booked^|^447^|^381^|^2345
Reached^|^448^|^382^|^2345
Reached^|^449^|^383^|^2345
Reached^|^450^|^384^|^2345
Booked^|^451^|^385^|^2345
Sold^|^452^|^386^|^2345
Sold^|^453^|^387^|^2345
Notreached^|^454^|^388^|^2345
Booked^|^455^|^389^|^2345
Sold^|^456^|^390^|^2345
Notreached^|^457^|^391^|^2345
Notreached^|^458^|^392^|^2345
Reached^|^459^|^393^|^2345
Reached^|^460^|^394^|^2345
Notreached^|^461^|^395^|^2345
Booked^|^462^|^396^|^2345
Sold^|^463^|^397^|^2345
Sold^|^464^|^398^|^2345
Booked^|^465^|^399^|^2345
Sold^|^466^|^400^|^2345
Booked^|^467^|^401^|^2345
Notreached^|^468^|^402^|^2345
Booked^|^469^|^403^|^2345
Notreached^|^470^|^404^|^2345
Notreached^|^471^|^405^|^2345
Sold^|^472^|^406^|^2345
Notreached^|^473^|^407^|^2345
Reached^|^474^|^408^|^2345
Sold^|^475^|^409^|^2345
Notreached^|^476^|^410^|^2345
Notreached^|^477^|^411^|^2345
Sold^|^478^|^412^|^2345
Sold^|^479^|^413^|^2345
Booked^|^480^|^414^|^2345
Reached^|^481^|^415^|^2345
Notreached^|^482^|^416^|^2345
Sold^|^483^|^417^|^2345
Notreached^|^484^|^418^|^2345
Notreached^|^485^|^419^|^2345
Reached^|^486^|^420^|^2345
Notreached^|^487^|^421^|^2345
Reached^|^488^|^422^|^2345
Sold^|^489^|^423^|^2345
Notreached^|^490^|^424^|^2345
Reached^|^491^|^425^|^2345
Sold^|^492^|^426^|^2345
Sold^|^493^|^427^|^2345
Sold^|^494^|^428^|^2345
Notreached^|^495^|^429^|^2345
Reached^|^496^|^430^|^2345
Notreached^|^497^|^431^|^2345
Sold^|^498^|^432^|^2345
Notreached^|^499^|^433^|^2345
Notreached^|^500^|^434^|^2345
Notreached^|^501^|^435^|^2345
Sold^|^502^|^436^|^2345
Notreached^|^503^|^437^|^2345
Sold^|^504^|^438^|^2345
Sold^|^505^|^439^|^2345
Booked^|^506^|^440^|^2345
Booked^|^507^|^441^|^2345
Sold^|^508^|^442^|^2345
Notreached^|^509^|^443^|^2345
Sold^|^510^|^444^|^2345
Sold^|^511^|^445^|^2345
Sold^|^512^|^446^|^2345
Notreached^|^513^|^447^|^2345
Reached^|^514^|^448^|^2345
Notreached^|^515^|^449^|^2345
Sold^|^516^|^450^|^2345
Sold^|^517^|^451^|^2345
Booked^|^518^|^452^|^2345
Reached^|^519^|^453^|^2345
Reached^|^520^|^454^|^2345
Booked^|^521^|^455^|^2345
Notreached^|^522^|^456^|^2345
Reached^|^523^|^457^|^2345
Notreached^|^524^|^458^|^2345
Booked^|^525^|^459^|^2345
Reached^|^526^|^460^|^2345
Notreached^|^527^|^461^|^2345
Reached^|^528^|^462^|^2345
Reached^|^529^|^463^|^2345
Reached^|^530^|^464^|^2345
Notreached^|^531^|^465^|^2345
Reached^|^532^|^466^|^2345
Booked^|^533^|^467^|^2345
Notreached^|^534^|^468^|^2345
Reached^|^535^|^469^|^2345
Sold^|^536^|^470^|^2345
Reached^|^537^|^471^|^2345
Notreached^|^538^|^472^|^2345
Reached^|^539^|^473^|^2345
Booked^|^540^|^474^|^2345
Reached^|^541^|^475^|^2345
Reached^|^542^|^476^|^2345
Reached^|^543^|^477^|^2345
Notreached^|^544^|^478^|^2345
Sold^|^545^|^479^|^2345
Sold^|^546^|^480^|^2345
Sold^|^547^|^481^|^2345
Sold^|^548^|^482^|^2345
Sold^|^549^|^483^|^2345
Booked^|^550^|^484^|^2345
Booked^|^551^|^485^|^2345
Booked^|^552^|^486^|^2345
Reached^|^553^|^487^|^2345
Notreached^|^554^|^488^|^2345
Notreached^|^555^|^489^|^2345
Reached^|^556^|^490^|^2345
Notreached^|^557^|^491^|^2345
Sold^|^558^|^492^|^2345
Booked^|^559^|^493^|^2345
Booked^|^560^|^494^|^2345
Notreached^|^561^|^495^|^2345
Reached^|^562^|^496^|^2345
Reached^|^563^|^497^|^2345
Notreached^|^564^|^498^|^2345
Reached^|^565^|^499^|^2345
Sold^|^566^|^500^|^2345
Reached^|^567^|^501^|^2345
Booked^|^568^|^502^|^2345
Booked^|^569^|^503^|^2345
Sold^|^570^|^504^|^2345
Reached^|^571^|^505^|^2345
Booked^|^572^|^506^|^2345
Booked^|^573^|^507^|^2345
Sold^|^574^|^508^|^2345
Reached^|^575^|^509^|^2345
Reached^|^576^|^510^|^2345
Reached^|^577^|^511^|^2345
Sold^|^578^|^512^|^2345
Booked^|^579^|^513^|^2345
Booked^|^580^|^514^|^2345
Reached^|^581^|^515^|^2345
Sold^|^582^|^516^|^2345
Sold^|^583^|^517^|^2345
Sold^|^584^|^518^|^2345
Booked^|^585^|^519^|^2345
Reached^|^586^|^520^|^2345
Reached^|^587^|^521^|^2345
Sold^|^588^|^522^|^2345
Booked^|^589^|^523^|^2345
Reached^|^590^|^524^|^2345
Notreached^|^591^|^525^|^2345
Reached^|^592^|^526^|^2345
Sold^|^593^|^527^|^2345
Notreached^|^594^|^528^|^2345
Notreached^|^595^|^529^|^2345
Booked^|^596^|^530^|^2345
Reached^|^597^|^531^|^2345
Sold^|^598^|^532^|^2345
Reached^|^599^|^533^|^2345
