soc^|^target_tariff_option^|^effective_date^|^feature_code^|^tier_level_code^|^business_category^|^dwh_source_ind^|^market_code^|^dwh_valid_from^|^dwh_valid_until^|^rate_eu^|^suspension_amt_eu^|^expiration_date^|^eu_bpn_rate^|^sys_creation_date^|^sys_creation_time^|^sys_update_date^|^sys_update_time^|^operator_id^|^application_id^|^dwh_status^|^dwh_lfd_nr
VDBASE01^|^ALLTO^|^20180925^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181023^|^20201217^|^82^|^52^|^20181219^|^62^|^20181216^|^80^|^20181014^|^132^|^92^|^MMC^|^AC^|^84
VDBASE01^|^ALLTO^|^20180928^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180819^|^20200610^|^83^|^53^|^20180425^|^63^|^20180518^|^81^|^20181220^|^133^|^93^|^MMC^|^AC^|^85
VDBASE01^|^ALLTO^|^20180309^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181205^|^20201002^|^84^|^54^|^20181118^|^64^|^20180831^|^82^|^20180401^|^134^|^94^|^MMC^|^AC^|^86
VDBASE01^|^ALLTO^|^20180301^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180709^|^20201220^|^85^|^55^|^20180823^|^65^|^20180104^|^83^|^20180203^|^135^|^95^|^MMC^|^AC^|^87
VDBASE01^|^ALLTO^|^20180503^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180729^|^20200528^|^86^|^56^|^20180503^|^66^|^20180812^|^84^|^20181129^|^136^|^96^|^MMC^|^AC^|^88
VDBASE01^|^ALLTO^|^20180530^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180519^|^20200622^|^87^|^57^|^20180829^|^67^|^20181021^|^85^|^20180924^|^137^|^97^|^MMC^|^AC^|^89
VDBASE01^|^ALLTO^|^20181008^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180823^|^20200915^|^88^|^58^|^20180529^|^68^|^20181010^|^86^|^20181122^|^138^|^98^|^MMC^|^AC^|^90
VDBASE01^|^ALLTO^|^20180423^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180324^|^20201112^|^89^|^59^|^20180205^|^69^|^20180731^|^87^|^20180724^|^139^|^99^|^MMC^|^AC^|^91
VDBASE01^|^ALLTO^|^20180618^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180928^|^20200808^|^90^|^60^|^20180916^|^70^|^20180226^|^88^|^20181222^|^140^|^100^|^MMC^|^AC^|^92
VDBASE01^|^ALLTO^|^20180414^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180207^|^20200726^|^91^|^61^|^20181111^|^71^|^20180209^|^89^|^20180511^|^141^|^101^|^MMC^|^AC^|^93
VDBASE01^|^ALLTO^|^20180114^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180803^|^20200714^|^92^|^62^|^20181206^|^72^|^20180827^|^90^|^20180317^|^142^|^102^|^MMC^|^AC^|^94
VDBASE01^|^ALLTO^|^20180708^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181128^|^20200926^|^93^|^63^|^20180716^|^73^|^20180924^|^91^|^20180921^|^143^|^103^|^MMC^|^AC^|^95
VDBASE01^|^ALLTO^|^20180716^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181127^|^20201124^|^94^|^64^|^20180121^|^74^|^20180722^|^92^|^20180903^|^144^|^104^|^MMC^|^AC^|^96
VDBASE01^|^ALLTO^|^20180313^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180125^|^20200723^|^95^|^65^|^20181005^|^75^|^20181217^|^93^|^20180506^|^145^|^105^|^MMC^|^AC^|^97
VDBASE01^|^ALLTO^|^20180531^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181022^|^20201127^|^96^|^66^|^20181206^|^76^|^20180824^|^94^|^20180509^|^146^|^106^|^MMC^|^AC^|^98
VDBASE01^|^ALLTO^|^20180317^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180228^|^20201015^|^97^|^67^|^20180508^|^77^|^20180126^|^95^|^20181214^|^147^|^107^|^MMC^|^AC^|^99
VDBASE01^|^ALLTO^|^20180424^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180615^|^20200625^|^98^|^68^|^20180829^|^78^|^20181115^|^96^|^20180722^|^148^|^108^|^MMC^|^AC^|^100
VDBASE01^|^ALLTO^|^20180313^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181119^|^20201102^|^99^|^69^|^20180711^|^79^|^20180624^|^97^|^20180525^|^149^|^109^|^MMC^|^AC^|^101
VDBASE01^|^ALLTO^|^20180427^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180224^|^20200508^|^100^|^70^|^20181026^|^80^|^20180606^|^98^|^20180606^|^150^|^110^|^MMC^|^AC^|^102
VDBASE01^|^ALLTO^|^20181224^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180505^|^20201115^|^101^|^71^|^20180731^|^81^|^20181127^|^99^|^20180925^|^151^|^111^|^MMC^|^AC^|^103
VDBASE01^|^ALLTO^|^20180801^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180309^|^20200522^|^102^|^72^|^20180128^|^82^|^20180216^|^100^|^20180110^|^152^|^112^|^MMC^|^AC^|^104
VDBASE01^|^ALLTO^|^20180516^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180410^|^20200528^|^103^|^73^|^20180726^|^83^|^20180907^|^101^|^20180114^|^153^|^113^|^MMC^|^AC^|^105
VDBASE01^|^ALLTO^|^20180426^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181124^|^20200604^|^104^|^74^|^20180719^|^84^|^20181011^|^102^|^20181008^|^154^|^114^|^MMC^|^AC^|^106
VDBASE01^|^ALLTO^|^20180218^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180515^|^20201224^|^105^|^75^|^20181124^|^85^|^20180521^|^103^|^20180402^|^155^|^115^|^MMC^|^AC^|^107
VDBASE01^|^ALLTO^|^20180908^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181205^|^20200707^|^106^|^76^|^20181227^|^86^|^20181130^|^104^|^20180808^|^156^|^116^|^MMC^|^AC^|^108
VDBASE01^|^ALLTO^|^20180605^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181206^|^20200917^|^107^|^77^|^20181112^|^87^|^20180922^|^105^|^20181025^|^157^|^117^|^MMC^|^AC^|^109
VDBASE01^|^ALLTO^|^20180304^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180216^|^20200912^|^108^|^78^|^20180406^|^88^|^20181012^|^106^|^20180628^|^158^|^118^|^MMC^|^AC^|^110
VDBASE01^|^ALLTO^|^20180218^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180301^|^20200910^|^109^|^79^|^20181207^|^89^|^20180705^|^107^|^20181204^|^159^|^119^|^MMC^|^AC^|^111
VDBASE01^|^ALLTO^|^20180922^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181227^|^20201215^|^110^|^80^|^20180710^|^90^|^20180120^|^108^|^20180308^|^160^|^120^|^MMC^|^AC^|^112
VDBASE01^|^ALLTO^|^20180911^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181218^|^20200708^|^111^|^81^|^20180517^|^91^|^20180315^|^109^|^20181113^|^161^|^121^|^MMC^|^AC^|^113
VDBASE01^|^ALLTO^|^20180331^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180326^|^20200804^|^112^|^82^|^20180814^|^92^|^20180215^|^110^|^20180812^|^162^|^122^|^MMC^|^AC^|^114
VDBASE01^|^ALLTO^|^20180223^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180920^|^20200812^|^113^|^83^|^20180806^|^93^|^20181109^|^111^|^20180316^|^163^|^123^|^MMC^|^AC^|^115
VDBASE01^|^ALLTO^|^20180924^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180215^|^20201026^|^114^|^84^|^20180605^|^94^|^20180825^|^112^|^20180603^|^164^|^124^|^MMC^|^AC^|^116
VDBASE01^|^ALLTO^|^20181206^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180413^|^20201002^|^115^|^85^|^20180102^|^95^|^20181213^|^113^|^20181027^|^165^|^125^|^MMC^|^AC^|^117
VDBASE01^|^ALLTO^|^20180821^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180111^|^20200510^|^116^|^86^|^20180618^|^96^|^20180121^|^114^|^20181001^|^166^|^126^|^MMC^|^AC^|^118
VDBASE01^|^ALLTO^|^20180919^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181123^|^20200926^|^117^|^87^|^20180804^|^97^|^20180611^|^115^|^20180914^|^167^|^127^|^MMC^|^AC^|^119
VDBASE01^|^ALLTO^|^20180201^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180706^|^20200629^|^118^|^88^|^20180222^|^98^|^20180810^|^116^|^20180115^|^168^|^128^|^MMC^|^AC^|^120
VDBASE01^|^ALLTO^|^20180519^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180220^|^20200518^|^119^|^89^|^20180601^|^99^|^20180515^|^117^|^20180202^|^169^|^129^|^MMC^|^AC^|^121
VDBASE01^|^ALLTO^|^20180215^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180106^|^20201118^|^120^|^90^|^20180823^|^100^|^20180216^|^118^|^20180131^|^170^|^130^|^MMC^|^AC^|^122
VDBASE01^|^ALLTO^|^20180924^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180813^|^20201105^|^121^|^91^|^20180919^|^101^|^20180317^|^119^|^20180818^|^171^|^131^|^MMC^|^AC^|^123
VDBASE01^|^ALLTO^|^20181003^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180925^|^20201106^|^122^|^92^|^20180517^|^102^|^20180722^|^120^|^20180402^|^172^|^132^|^MMC^|^AC^|^124
VDBASE01^|^ALLTO^|^20180415^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181011^|^20200912^|^123^|^93^|^20181002^|^103^|^20180716^|^121^|^20181001^|^173^|^133^|^MMC^|^AC^|^125
VDBASE01^|^ALLTO^|^20180309^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180304^|^20201001^|^124^|^94^|^20181205^|^104^|^20180126^|^122^|^20181211^|^174^|^134^|^MMC^|^AC^|^126
VDBASE01^|^ALLTO^|^20180205^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180714^|^20200819^|^125^|^95^|^20181014^|^105^|^20180820^|^123^|^20181016^|^175^|^135^|^MMC^|^AC^|^127
VDBASE01^|^ALLTO^|^20180228^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180601^|^20200617^|^126^|^96^|^20180217^|^106^|^20180105^|^124^|^20181029^|^176^|^136^|^MMC^|^AC^|^128
VDBASE01^|^ALLTO^|^20180322^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181212^|^20201201^|^127^|^97^|^20180815^|^107^|^20180310^|^125^|^20180404^|^177^|^137^|^MMC^|^AC^|^129
VDBASE01^|^ALLTO^|^20180618^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180617^|^20200702^|^128^|^98^|^20180911^|^108^|^20180908^|^126^|^20181219^|^178^|^138^|^MMC^|^AC^|^130
VDBASE01^|^ALLTO^|^20181008^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180625^|^20200617^|^129^|^99^|^20180218^|^109^|^20180103^|^127^|^20180529^|^179^|^139^|^MMC^|^AC^|^131
VDBASE01^|^ALLTO^|^20180424^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180730^|^20201221^|^130^|^100^|^20180304^|^110^|^20180804^|^128^|^20181128^|^180^|^140^|^MMC^|^AC^|^132
VDBASE01^|^ALLTO^|^20181110^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180616^|^20201207^|^131^|^101^|^20180130^|^111^|^20180730^|^129^|^20180603^|^181^|^141^|^MMC^|^AC^|^133
VDBASE01^|^ALLTO^|^20180709^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181006^|^20201102^|^132^|^102^|^20180502^|^112^|^20180625^|^130^|^20180408^|^182^|^142^|^MMC^|^AC^|^134
VDBASE01^|^ALLTO^|^20180622^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181108^|^20200820^|^133^|^103^|^20181122^|^113^|^20180415^|^131^|^20181020^|^183^|^143^|^MMC^|^AC^|^135
VDBASE01^|^ALLTO^|^20180523^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180329^|^20201010^|^134^|^104^|^20180825^|^114^|^20180511^|^132^|^20180324^|^184^|^144^|^MMC^|^AC^|^136
VDBASE01^|^ALLTO^|^20180128^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180908^|^20200609^|^135^|^105^|^20181228^|^115^|^20181018^|^133^|^20181122^|^185^|^145^|^MMC^|^AC^|^137
VDBASE01^|^ALLTO^|^20180206^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181205^|^20201005^|^136^|^106^|^20181003^|^116^|^20181028^|^134^|^20180404^|^186^|^146^|^MMC^|^AC^|^138
VDBASE01^|^ALLTO^|^20180514^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181202^|^20200720^|^137^|^107^|^20180101^|^117^|^20181226^|^135^|^20180216^|^187^|^147^|^MMC^|^AC^|^139
VDBASE01^|^ALLTO^|^20180611^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180702^|^20200615^|^138^|^108^|^20181228^|^118^|^20180213^|^136^|^20180727^|^188^|^148^|^MMC^|^AC^|^140
VDBASE01^|^ALLTO^|^20180128^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180820^|^20201224^|^139^|^109^|^20180924^|^119^|^20181202^|^137^|^20180915^|^189^|^149^|^MMC^|^AC^|^141
VDBASE01^|^ALLTO^|^20180519^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180703^|^20200604^|^140^|^110^|^20180315^|^120^|^20180723^|^138^|^20180711^|^190^|^150^|^MMC^|^AC^|^142
VDBASE01^|^ALLTO^|^20181226^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181216^|^20200902^|^141^|^111^|^20180911^|^121^|^20181201^|^139^|^20180705^|^191^|^151^|^MMC^|^AC^|^143
VDBASE01^|^ALLTO^|^20181124^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181110^|^20201026^|^142^|^112^|^20180422^|^122^|^20181112^|^140^|^20181107^|^192^|^152^|^MMC^|^AC^|^144
VDBASE01^|^ALLTO^|^20180929^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181127^|^20200506^|^143^|^113^|^20180111^|^123^|^20180822^|^141^|^20180728^|^193^|^153^|^MMC^|^AC^|^145
VDBASE01^|^ALLTO^|^20180705^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180406^|^20200530^|^144^|^114^|^20180803^|^124^|^20181229^|^142^|^20180704^|^194^|^154^|^MMC^|^AC^|^146
VDBASE01^|^ALLTO^|^20180918^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180926^|^20200904^|^145^|^115^|^20180609^|^125^|^20181004^|^143^|^20181102^|^195^|^155^|^MMC^|^AC^|^147
VDBASE01^|^ALLTO^|^20180127^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180224^|^20201019^|^146^|^116^|^20180821^|^126^|^20180719^|^144^|^20180120^|^196^|^156^|^MMC^|^AC^|^148
VDBASE01^|^ALLTO^|^20181201^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180614^|^20200509^|^147^|^117^|^20180315^|^127^|^20180520^|^145^|^20180822^|^197^|^157^|^MMC^|^AC^|^149
VDBASE01^|^ALLTO^|^20180128^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180711^|^20200628^|^148^|^118^|^20181216^|^128^|^20180913^|^146^|^20180927^|^198^|^158^|^MMC^|^AC^|^150
VDBASE01^|^ALLTO^|^20181001^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180611^|^20200622^|^149^|^119^|^20180508^|^129^|^20181130^|^147^|^20180117^|^199^|^159^|^MMC^|^AC^|^151
VDBASE01^|^ALLTO^|^20180503^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180325^|^20200815^|^150^|^120^|^20180411^|^130^|^20180930^|^148^|^20181107^|^200^|^160^|^MMC^|^AC^|^152
VDBASE01^|^ALLTO^|^20180125^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180731^|^20200807^|^151^|^121^|^20180429^|^131^|^20180225^|^149^|^20181229^|^201^|^161^|^MMC^|^AC^|^153
VDBASE01^|^ALLTO^|^20180710^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180103^|^20200514^|^152^|^122^|^20180228^|^132^|^20180506^|^150^|^20180118^|^202^|^162^|^MMC^|^AC^|^154
VDBASE01^|^ALLTO^|^20180930^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180309^|^20201014^|^153^|^123^|^20180327^|^133^|^20180420^|^151^|^20181024^|^203^|^163^|^MMC^|^AC^|^155
VDBASE01^|^ALLTO^|^20181111^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180415^|^20200902^|^154^|^124^|^20180830^|^134^|^20181102^|^152^|^20180728^|^204^|^164^|^MMC^|^AC^|^156
VDBASE01^|^ALLTO^|^20180107^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180913^|^20200824^|^155^|^125^|^20180618^|^135^|^20181027^|^153^|^20181009^|^205^|^165^|^MMC^|^AC^|^157
VDBASE01^|^ALLTO^|^20181010^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181114^|^20200917^|^156^|^126^|^20181025^|^136^|^20180405^|^154^|^20180830^|^206^|^166^|^MMC^|^AC^|^158
VDBASE01^|^ALLTO^|^20180110^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180707^|^20200501^|^157^|^127^|^20180314^|^137^|^20180609^|^155^|^20181216^|^207^|^167^|^MMC^|^AC^|^159
VDBASE01^|^ALLTO^|^20180227^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180322^|^20201114^|^158^|^128^|^20181228^|^138^|^20181114^|^156^|^20180702^|^208^|^168^|^MMC^|^AC^|^160
VDBASE01^|^ALLTO^|^20180925^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181207^|^20200713^|^159^|^129^|^20180915^|^139^|^20181102^|^157^|^20180625^|^209^|^169^|^MMC^|^AC^|^161
VDBASE01^|^ALLTO^|^20180211^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180608^|^20201025^|^160^|^130^|^20180722^|^140^|^20180321^|^158^|^20180118^|^210^|^170^|^MMC^|^AC^|^162
VDBASE01^|^ALLTO^|^20180916^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20181102^|^20200504^|^161^|^131^|^20181005^|^141^|^20180903^|^159^|^20180106^|^211^|^171^|^MMC^|^AC^|^163
VDBASE01^|^ALLTO^|^20180514^|^RBASIS^|^0^|^SE^|^3^|^MMC^|^20180520^|^20201005^|^162^|^132^|^20180322^|^142^|^20180825^|^160^|^20180815^|^212^|^172^|^MMC^|^AC^|^164
