sc_id^|^sc_valid_from_date^|^sc_valid_until_date^|^sc_num^|^sc_name^|^sc_orig_num^|^sc_eff_date^|^sc_expire_date^|^sc_ident_type_cd^|^sc_ident1_num^|^sc_ident2_num^|^sc_ident3_num^|^sc_cust_rel_role_cd^|^sc_classification
60^|^20121205^|^20920831^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180620^|^20190126^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
61^|^20171026^|^20941104^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180709^|^20190829^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
62^|^20160805^|^20910601^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180127^|^20190616^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
63^|^20150311^|^20990712^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180618^|^20190610^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
64^|^20161125^|^20981231^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180424^|^20191225^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
65^|^20170630^|^20960507^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181209^|^20190521^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
66^|^20130725^|^20921109^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180212^|^20191030^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
67^|^20111007^|^20910822^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180506^|^20190922^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
68^|^20120214^|^20910218^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180218^|^20190611^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
69^|^20171113^|^20990821^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180208^|^20190621^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
70^|^20110520^|^20940216^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180308^|^20190208^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
71^|^20120324^|^20910115^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180525^|^20191020^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
72^|^20141218^|^20940915^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180714^|^20191228^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
73^|^20120604^|^20940817^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181011^|^20190921^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
74^|^20150702^|^20930314^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180408^|^20190706^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
75^|^20160424^|^20960825^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180125^|^20190530^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
76^|^20150218^|^20920823^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180520^|^20190310^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
77^|^20140428^|^20920215^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180121^|^20190429^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
78^|^20131006^|^20990414^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181229^|^20190321^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
79^|^20120624^|^20970908^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180930^|^20190211^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
80^|^20130126^|^20910226^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180104^|^20190625^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
81^|^20121127^|^20961108^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180711^|^20191202^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
82^|^20110105^|^20960822^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180117^|^20191127^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
83^|^20111209^|^20940417^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180909^|^20190812^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
84^|^20150318^|^20990123^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181201^|^20191112^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
85^|^20150531^|^20910614^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20181106^|^20190123^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
86^|^20120928^|^20990121^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180430^|^20191002^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
87^|^20130415^|^20971001^|^1694498^|^Vertriebsbeauftragte^|^VB^|^20180214^|^20190421^|^SCI^|^1694498^|^1694498^|^1694498^|^D^|^ABC
