soc^|^market_code^|^discount^|^creation_date^|^discount_type^|^is_flat_discount^|^rate_source^|^to_id
92^|^MMC^|^-4.705^|^20130622^|^GTY^|^0^|^DWH^|^258
93^|^MMC^|^-4.705^|^20131203^|^GTY^|^1^|^DWH^|^259
94^|^MMC^|^-4.705^|^20130808^|^GTY^|^0^|^DWH^|^260
95^|^MMC^|^-4.805^|^20131106^|^GTY^|^0^|^DWH^|^261
96^|^MMC^|^-4.805^|^20130722^|^GTY^|^1^|^DWH^|^262
97^|^MMC^|^-4.705^|^20130304^|^GTY^|^0^|^DWH^|^263
98^|^MMC^|^-4.705^|^20130617^|^GTY^|^0^|^DWH^|^264
99^|^MMC^|^-4.805^|^20130227^|^GTY^|^0^|^DWH^|^265
100^|^MMC^|^-4.705^|^20131120^|^GTY^|^0^|^DWH^|^266
101^|^MMC^|^-4.805^|^20130301^|^GTY^|^0^|^DWH^|^267
102^|^MMC^|^-4.705^|^20131227^|^GTY^|^0^|^DWH^|^268
103^|^MMC^|^-4.805^|^20130506^|^GTY^|^1^|^DWH^|^269
104^|^MMC^|^-4.805^|^20130808^|^GTY^|^1^|^DWH^|^270
105^|^MMC^|^-4.805^|^20131105^|^GTY^|^1^|^DWH^|^271
106^|^MMC^|^-4.705^|^20130323^|^GTY^|^1^|^DWH^|^272
107^|^MMC^|^-4.805^|^20131207^|^GTY^|^1^|^DWH^|^273
108^|^MMC^|^-4.705^|^20130208^|^GTY^|^1^|^DWH^|^274
109^|^MMC^|^-4.705^|^20130209^|^GTY^|^1^|^DWH^|^275
110^|^MMC^|^-4.805^|^20130208^|^GTY^|^1^|^DWH^|^276
111^|^MMC^|^-4.705^|^20130203^|^GTY^|^1^|^DWH^|^277
112^|^MMC^|^-4.705^|^20130918^|^GTY^|^1^|^DWH^|^278
113^|^MMC^|^-4.705^|^20131228^|^GTY^|^0^|^DWH^|^279
114^|^MMC^|^-4.805^|^20131005^|^GTY^|^1^|^DWH^|^280
115^|^MMC^|^-4.805^|^20131102^|^GTY^|^0^|^DWH^|^281
116^|^MMC^|^-4.805^|^20130721^|^GTY^|^1^|^DWH^|^282
117^|^MMC^|^-4.805^|^20130310^|^GTY^|^1^|^DWH^|^283
118^|^MMC^|^-4.805^|^20131014^|^GTY^|^1^|^DWH^|^284
119^|^MMC^|^-4.805^|^20130303^|^GTY^|^0^|^DWH^|^285
120^|^MMC^|^-4.805^|^20130301^|^GTY^|^1^|^DWH^|^286
121^|^MMC^|^-4.705^|^20130820^|^GTY^|^0^|^DWH^|^287
122^|^MMC^|^-4.705^|^20130509^|^GTY^|^1^|^DWH^|^288
123^|^MMC^|^-4.705^|^20130527^|^GTY^|^1^|^DWH^|^289
124^|^MMC^|^-4.705^|^20130316^|^GTY^|^1^|^DWH^|^290
125^|^MMC^|^-4.805^|^20130803^|^GTY^|^1^|^DWH^|^291
126^|^MMC^|^-4.805^|^20130206^|^GTY^|^1^|^DWH^|^292
127^|^MMC^|^-4.705^|^20130501^|^GTY^|^1^|^DWH^|^293
128^|^MMC^|^-4.705^|^20130201^|^GTY^|^0^|^DWH^|^294
129^|^MMC^|^-4.805^|^20130727^|^GTY^|^1^|^DWH^|^295
130^|^MMC^|^-4.705^|^20130817^|^GTY^|^1^|^DWH^|^296
131^|^MMC^|^-4.805^|^20130908^|^GTY^|^1^|^DWH^|^297
132^|^MMC^|^-4.805^|^20130219^|^GTY^|^1^|^DWH^|^298
133^|^MMC^|^-4.705^|^20130208^|^GTY^|^0^|^DWH^|^299
134^|^MMC^|^-4.805^|^20131202^|^GTY^|^0^|^DWH^|^300
135^|^MMC^|^-4.705^|^20130515^|^GTY^|^0^|^DWH^|^301
136^|^MMC^|^-4.705^|^20130707^|^GTY^|^0^|^DWH^|^302
137^|^MMC^|^-4.805^|^20130701^|^GTY^|^1^|^DWH^|^303
138^|^MMC^|^-4.705^|^20130404^|^GTY^|^0^|^DWH^|^304
139^|^MMC^|^-4.805^|^20131203^|^GTY^|^1^|^DWH^|^305
140^|^MMC^|^-4.805^|^20131224^|^GTY^|^1^|^DWH^|^306
141^|^MMC^|^-4.705^|^20130312^|^GTY^|^0^|^DWH^|^307
142^|^MMC^|^-4.805^|^20130911^|^GTY^|^1^|^DWH^|^308
143^|^MMC^|^-4.805^|^20131224^|^GTY^|^1^|^DWH^|^309
144^|^MMC^|^-4.805^|^20130119^|^GTY^|^0^|^DWH^|^310
145^|^MMC^|^-4.805^|^20130825^|^GTY^|^0^|^DWH^|^311
146^|^MMC^|^-4.705^|^20130525^|^GTY^|^1^|^DWH^|^312
147^|^MMC^|^-4.805^|^20130613^|^GTY^|^0^|^DWH^|^313
148^|^MMC^|^-4.705^|^20130911^|^GTY^|^0^|^DWH^|^314
149^|^MMC^|^-4.805^|^20130312^|^GTY^|^1^|^DWH^|^315
150^|^MMC^|^-4.705^|^20130320^|^GTY^|^0^|^DWH^|^316
151^|^MMC^|^-4.805^|^20130204^|^GTY^|^0^|^DWH^|^317
152^|^MMC^|^-4.805^|^20130422^|^GTY^|^1^|^DWH^|^318
153^|^MMC^|^-4.705^|^20130718^|^GTY^|^1^|^DWH^|^319
154^|^MMC^|^-4.805^|^20130719^|^GTY^|^0^|^DWH^|^320
155^|^MMC^|^-4.705^|^20130618^|^GTY^|^0^|^DWH^|^321
156^|^MMC^|^-4.705^|^20130703^|^GTY^|^1^|^DWH^|^322
157^|^MMC^|^-4.705^|^20130915^|^GTY^|^1^|^DWH^|^323
158^|^MMC^|^-4.705^|^20130221^|^GTY^|^0^|^DWH^|^324
159^|^MMC^|^-4.805^|^20130509^|^GTY^|^1^|^DWH^|^325
160^|^MMC^|^-4.805^|^20131226^|^GTY^|^1^|^DWH^|^326
161^|^MMC^|^-4.805^|^20130312^|^GTY^|^0^|^DWH^|^327
162^|^MMC^|^-4.805^|^20131226^|^GTY^|^1^|^DWH^|^328
163^|^MMC^|^-4.705^|^20130521^|^GTY^|^1^|^DWH^|^329
164^|^MMC^|^-4.805^|^20131011^|^GTY^|^0^|^DWH^|^330
165^|^MMC^|^-4.805^|^20130101^|^GTY^|^0^|^DWH^|^331
166^|^MMC^|^-4.805^|^20130411^|^GTY^|^0^|^DWH^|^332
167^|^MMC^|^-4.705^|^20130213^|^GTY^|^0^|^DWH^|^333
168^|^MMC^|^-4.705^|^20130602^|^GTY^|^0^|^DWH^|^334
169^|^MMC^|^-4.805^|^20130426^|^GTY^|^0^|^DWH^|^335
170^|^MMC^|^-4.705^|^20130210^|^GTY^|^1^|^DWH^|^336
171^|^MMC^|^-4.705^|^20131017^|^GTY^|^1^|^DWH^|^337
172^|^MMC^|^-4.805^|^20131012^|^GTY^|^1^|^DWH^|^338
173^|^MMC^|^-4.805^|^20130220^|^GTY^|^1^|^DWH^|^339
174^|^MMC^|^-4.705^|^20130203^|^GTY^|^0^|^DWH^|^340
175^|^MMC^|^-4.805^|^20130621^|^GTY^|^0^|^DWH^|^341
176^|^MMC^|^-4.805^|^20131110^|^GTY^|^0^|^DWH^|^342
177^|^MMC^|^-4.705^|^20130207^|^GTY^|^1^|^DWH^|^343
178^|^MMC^|^-4.805^|^20130416^|^GTY^|^1^|^DWH^|^344
179^|^MMC^|^-4.805^|^20130104^|^GTY^|^1^|^DWH^|^345
180^|^MMC^|^-4.705^|^20130118^|^GTY^|^1^|^DWH^|^346
181^|^MMC^|^-4.705^|^20131102^|^GTY^|^1^|^DWH^|^347
182^|^MMC^|^-4.805^|^20130905^|^GTY^|^0^|^DWH^|^348
183^|^MMC^|^-4.805^|^20130310^|^GTY^|^0^|^DWH^|^349
184^|^MMC^|^-4.705^|^20130706^|^GTY^|^1^|^DWH^|^350
185^|^MMC^|^-4.805^|^20130226^|^GTY^|^0^|^DWH^|^351
186^|^MMC^|^-4.805^|^20130924^|^GTY^|^0^|^DWH^|^352
187^|^MMC^|^-4.805^|^20131109^|^GTY^|^1^|^DWH^|^353
188^|^MMC^|^-4.705^|^20130312^|^GTY^|^1^|^DWH^|^354
189^|^MMC^|^-4.705^|^20131006^|^GTY^|^0^|^DWH^|^355
190^|^MMC^|^-4.805^|^20130429^|^GTY^|^0^|^DWH^|^356
191^|^MMC^|^-4.805^|^20130414^|^GTY^|^0^|^DWH^|^357
192^|^MMC^|^-4.805^|^20130205^|^GTY^|^0^|^DWH^|^358
193^|^MMC^|^-4.705^|^20130205^|^GTY^|^1^|^DWH^|^359
194^|^MMC^|^-4.705^|^20130314^|^GTY^|^1^|^DWH^|^360
195^|^MMC^|^-4.805^|^20131027^|^GTY^|^1^|^DWH^|^361
196^|^MMC^|^-4.705^|^20130924^|^GTY^|^0^|^DWH^|^362
197^|^MMC^|^-4.805^|^20130318^|^GTY^|^0^|^DWH^|^363
198^|^MMC^|^-4.805^|^20130202^|^GTY^|^0^|^DWH^|^364
199^|^MMC^|^-4.705^|^20130722^|^GTY^|^1^|^DWH^|^365
200^|^MMC^|^-4.805^|^20130315^|^GTY^|^0^|^DWH^|^366
201^|^MMC^|^-4.805^|^20131118^|^GTY^|^0^|^DWH^|^367
202^|^MMC^|^-4.805^|^20130129^|^GTY^|^0^|^DWH^|^368
203^|^MMC^|^-4.805^|^20130125^|^GTY^|^1^|^DWH^|^369
204^|^MMC^|^-4.705^|^20130806^|^GTY^|^1^|^DWH^|^370
205^|^MMC^|^-4.805^|^20131206^|^GTY^|^0^|^DWH^|^371
206^|^MMC^|^-4.705^|^20130506^|^GTY^|^0^|^DWH^|^372
207^|^MMC^|^-4.705^|^20130122^|^GTY^|^0^|^DWH^|^373
208^|^MMC^|^-4.805^|^20130606^|^GTY^|^1^|^DWH^|^374
209^|^MMC^|^-4.805^|^20130208^|^GTY^|^1^|^DWH^|^375
210^|^MMC^|^-4.705^|^20130825^|^GTY^|^0^|^DWH^|^376
211^|^MMC^|^-4.705^|^20130526^|^GTY^|^1^|^DWH^|^377
212^|^MMC^|^-4.705^|^20131006^|^GTY^|^1^|^DWH^|^378
213^|^MMC^|^-4.805^|^20130105^|^GTY^|^0^|^DWH^|^379
214^|^MMC^|^-4.805^|^20130615^|^GTY^|^1^|^DWH^|^380
215^|^MMC^|^-4.705^|^20130622^|^GTY^|^1^|^DWH^|^381
216^|^MMC^|^-4.805^|^20130210^|^GTY^|^0^|^DWH^|^382
217^|^MMC^|^-4.805^|^20131125^|^GTY^|^0^|^DWH^|^383
218^|^MMC^|^-4.805^|^20130929^|^GTY^|^1^|^DWH^|^384
219^|^MMC^|^-4.805^|^20130323^|^GTY^|^1^|^DWH^|^385
220^|^MMC^|^-4.705^|^20130604^|^GTY^|^0^|^DWH^|^386
221^|^MMC^|^-4.805^|^20130113^|^GTY^|^1^|^DWH^|^387
222^|^MMC^|^-4.705^|^20131112^|^GTY^|^0^|^DWH^|^388
223^|^MMC^|^-4.705^|^20130225^|^GTY^|^0^|^DWH^|^389
224^|^MMC^|^-4.805^|^20130814^|^GTY^|^1^|^DWH^|^390
225^|^MMC^|^-4.705^|^20130119^|^GTY^|^1^|^DWH^|^391
226^|^MMC^|^-4.705^|^20131223^|^GTY^|^1^|^DWH^|^392
227^|^MMC^|^-4.705^|^20130418^|^GTY^|^0^|^DWH^|^393
228^|^MMC^|^-4.805^|^20130409^|^GTY^|^1^|^DWH^|^394
229^|^MMC^|^-4.705^|^20130202^|^GTY^|^1^|^DWH^|^395
230^|^MMC^|^-4.705^|^20131004^|^GTY^|^1^|^DWH^|^396
231^|^MMC^|^-4.805^|^20131011^|^GTY^|^0^|^DWH^|^397
232^|^MMC^|^-4.705^|^20130605^|^GTY^|^1^|^DWH^|^398
233^|^MMC^|^-4.805^|^20131203^|^GTY^|^1^|^DWH^|^399
234^|^MMC^|^-4.705^|^20131206^|^GTY^|^1^|^DWH^|^400
235^|^MMC^|^-4.705^|^20131027^|^GTY^|^1^|^DWH^|^401
236^|^MMC^|^-4.805^|^20131011^|^GTY^|^0^|^DWH^|^402
237^|^MMC^|^-4.705^|^20130718^|^GTY^|^0^|^DWH^|^403
238^|^MMC^|^-4.805^|^20130928^|^GTY^|^1^|^DWH^|^404
239^|^MMC^|^-4.805^|^20130216^|^GTY^|^0^|^DWH^|^405
240^|^MMC^|^-4.705^|^20130810^|^GTY^|^0^|^DWH^|^406
241^|^MMC^|^-4.705^|^20130810^|^GTY^|^1^|^DWH^|^407
242^|^MMC^|^-4.805^|^20130402^|^GTY^|^1^|^DWH^|^408
243^|^MMC^|^-4.805^|^20130724^|^GTY^|^1^|^DWH^|^409
244^|^MMC^|^-4.705^|^20130507^|^GTY^|^1^|^DWH^|^410
245^|^MMC^|^-4.805^|^20130409^|^GTY^|^0^|^DWH^|^411
246^|^MMC^|^-4.805^|^20130923^|^GTY^|^0^|^DWH^|^412
247^|^MMC^|^-4.705^|^20130610^|^GTY^|^0^|^DWH^|^413
248^|^MMC^|^-4.805^|^20130729^|^GTY^|^1^|^DWH^|^414
249^|^MMC^|^-4.705^|^20130922^|^GTY^|^0^|^DWH^|^415
250^|^MMC^|^-4.805^|^20130611^|^GTY^|^0^|^DWH^|^416
251^|^MMC^|^-4.805^|^20130315^|^GTY^|^0^|^DWH^|^417
252^|^MMC^|^-4.705^|^20130624^|^GTY^|^0^|^DWH^|^418
253^|^MMC^|^-4.805^|^20131119^|^GTY^|^1^|^DWH^|^419
254^|^MMC^|^-4.705^|^20131220^|^GTY^|^1^|^DWH^|^420
255^|^MMC^|^-4.705^|^20130122^|^GTY^|^0^|^DWH^|^421
256^|^MMC^|^-4.805^|^20131024^|^GTY^|^1^|^DWH^|^422
257^|^MMC^|^-4.705^|^20131021^|^GTY^|^0^|^DWH^|^423
258^|^MMC^|^-4.805^|^20131101^|^GTY^|^0^|^DWH^|^424
259^|^MMC^|^-4.805^|^20130106^|^GTY^|^1^|^DWH^|^425
260^|^MMC^|^-4.805^|^20130309^|^GTY^|^1^|^DWH^|^426
261^|^MMC^|^-4.805^|^20131227^|^GTY^|^0^|^DWH^|^427
262^|^MMC^|^-4.705^|^20130718^|^GTY^|^1^|^DWH^|^428
263^|^MMC^|^-4.705^|^20131117^|^GTY^|^1^|^DWH^|^429
264^|^MMC^|^-4.705^|^20130218^|^GTY^|^0^|^DWH^|^430
265^|^MMC^|^-4.805^|^20131015^|^GTY^|^1^|^DWH^|^431
266^|^MMC^|^-4.805^|^20130622^|^GTY^|^0^|^DWH^|^432
267^|^MMC^|^-4.805^|^20131230^|^GTY^|^0^|^DWH^|^433
268^|^MMC^|^-4.705^|^20130924^|^GTY^|^0^|^DWH^|^434
269^|^MMC^|^-4.705^|^20131212^|^GTY^|^0^|^DWH^|^435
270^|^MMC^|^-4.805^|^20130227^|^GTY^|^0^|^DWH^|^436
271^|^MMC^|^-4.805^|^20130716^|^GTY^|^1^|^DWH^|^437
272^|^MMC^|^-4.705^|^20130730^|^GTY^|^1^|^DWH^|^438
273^|^MMC^|^-4.805^|^20130519^|^GTY^|^1^|^DWH^|^439
274^|^MMC^|^-4.705^|^20130407^|^GTY^|^1^|^DWH^|^440
275^|^MMC^|^-4.705^|^20130906^|^GTY^|^0^|^DWH^|^441
276^|^MMC^|^-4.705^|^20131117^|^GTY^|^0^|^DWH^|^442
277^|^MMC^|^-4.705^|^20130108^|^GTY^|^1^|^DWH^|^443
278^|^MMC^|^-4.705^|^20130701^|^GTY^|^1^|^DWH^|^444
279^|^MMC^|^-4.805^|^20131107^|^GTY^|^1^|^DWH^|^445
280^|^MMC^|^-4.705^|^20130423^|^GTY^|^0^|^DWH^|^446
281^|^MMC^|^-4.705^|^20130419^|^GTY^|^0^|^DWH^|^447
282^|^MMC^|^-4.805^|^20130403^|^GTY^|^1^|^DWH^|^448
283^|^MMC^|^-4.705^|^20131121^|^GTY^|^0^|^DWH^|^449
284^|^MMC^|^-4.805^|^20130422^|^GTY^|^1^|^DWH^|^450
285^|^MMC^|^-4.705^|^20130613^|^GTY^|^0^|^DWH^|^451
286^|^MMC^|^-4.805^|^20130608^|^GTY^|^1^|^DWH^|^452
287^|^MMC^|^-4.805^|^20131008^|^GTY^|^1^|^DWH^|^453
288^|^MMC^|^-4.705^|^20130603^|^GTY^|^1^|^DWH^|^454
289^|^MMC^|^-4.805^|^20130916^|^GTY^|^1^|^DWH^|^455
290^|^MMC^|^-4.705^|^20131029^|^GTY^|^1^|^DWH^|^456
291^|^MMC^|^-4.805^|^20131021^|^GTY^|^1^|^DWH^|^457
292^|^MMC^|^-4.805^|^20130606^|^GTY^|^0^|^DWH^|^458
293^|^MMC^|^-4.705^|^20130713^|^GTY^|^0^|^DWH^|^459
294^|^MMC^|^-4.805^|^20130518^|^GTY^|^1^|^DWH^|^460
295^|^MMC^|^-4.805^|^20130818^|^GTY^|^1^|^DWH^|^461
296^|^MMC^|^-4.705^|^20130314^|^GTY^|^1^|^DWH^|^462
297^|^MMC^|^-4.705^|^20130729^|^GTY^|^0^|^DWH^|^463
298^|^MMC^|^-4.805^|^20130827^|^GTY^|^0^|^DWH^|^464
299^|^MMC^|^-4.705^|^20131014^|^GTY^|^1^|^DWH^|^465
300^|^MMC^|^-4.805^|^20130306^|^GTY^|^0^|^DWH^|^466
301^|^MMC^|^-4.705^|^20131224^|^GTY^|^1^|^DWH^|^467
302^|^MMC^|^-4.805^|^20131017^|^GTY^|^1^|^DWH^|^468
303^|^MMC^|^-4.805^|^20130620^|^GTY^|^1^|^DWH^|^469
304^|^MMC^|^-4.805^|^20130601^|^GTY^|^0^|^DWH^|^470
305^|^MMC^|^-4.805^|^20131017^|^GTY^|^0^|^DWH^|^471
306^|^MMC^|^-4.805^|^20131027^|^GTY^|^0^|^DWH^|^472
307^|^MMC^|^-4.705^|^20130819^|^GTY^|^0^|^DWH^|^473
308^|^MMC^|^-4.705^|^20131016^|^GTY^|^0^|^DWH^|^474
309^|^MMC^|^-4.705^|^20130323^|^GTY^|^0^|^DWH^|^475
310^|^MMC^|^-4.705^|^20130711^|^GTY^|^1^|^DWH^|^476
311^|^MMC^|^-4.705^|^20130915^|^GTY^|^0^|^DWH^|^477
312^|^MMC^|^-4.805^|^20130113^|^GTY^|^0^|^DWH^|^478
313^|^MMC^|^-4.805^|^20130318^|^GTY^|^1^|^DWH^|^479
314^|^MMC^|^-4.805^|^20130818^|^GTY^|^1^|^DWH^|^480
315^|^MMC^|^-4.805^|^20130611^|^GTY^|^1^|^DWH^|^481
316^|^MMC^|^-4.705^|^20130323^|^GTY^|^0^|^DWH^|^482
317^|^MMC^|^-4.705^|^20130524^|^GTY^|^0^|^DWH^|^483
318^|^MMC^|^-4.705^|^20130430^|^GTY^|^1^|^DWH^|^484
319^|^MMC^|^-4.805^|^20131011^|^GTY^|^1^|^DWH^|^485
320^|^MMC^|^-4.705^|^20130813^|^GTY^|^1^|^DWH^|^486
321^|^MMC^|^-4.805^|^20131112^|^GTY^|^1^|^DWH^|^487
322^|^MMC^|^-4.805^|^20130922^|^GTY^|^1^|^DWH^|^488
323^|^MMC^|^-4.805^|^20130116^|^GTY^|^0^|^DWH^|^489
324^|^MMC^|^-4.805^|^20131019^|^GTY^|^1^|^DWH^|^490
325^|^MMC^|^-4.805^|^20130129^|^GTY^|^1^|^DWH^|^491
326^|^MMC^|^-4.805^|^20130709^|^GTY^|^1^|^DWH^|^492
327^|^MMC^|^-4.805^|^20130522^|^GTY^|^1^|^DWH^|^493
328^|^MMC^|^-4.705^|^20130810^|^GTY^|^0^|^DWH^|^494
329^|^MMC^|^-4.705^|^20130530^|^GTY^|^1^|^DWH^|^495
330^|^MMC^|^-4.805^|^20130607^|^GTY^|^1^|^DWH^|^496
331^|^MMC^|^-4.805^|^20131228^|^GTY^|^0^|^DWH^|^497
332^|^MMC^|^-4.705^|^20131105^|^GTY^|^1^|^DWH^|^498
333^|^MMC^|^-4.705^|^20130829^|^GTY^|^0^|^DWH^|^499
334^|^MMC^|^-4.705^|^20130111^|^GTY^|^1^|^DWH^|^500
335^|^MMC^|^-4.805^|^20130819^|^GTY^|^1^|^DWH^|^501
336^|^MMC^|^-4.705^|^20130730^|^GTY^|^1^|^DWH^|^502
337^|^MMC^|^-4.805^|^20131009^|^GTY^|^0^|^DWH^|^503
338^|^MMC^|^-4.705^|^20130908^|^GTY^|^1^|^DWH^|^504
339^|^MMC^|^-4.705^|^20131007^|^GTY^|^0^|^DWH^|^505
340^|^MMC^|^-4.705^|^20130308^|^GTY^|^0^|^DWH^|^506
341^|^MMC^|^-4.805^|^20130718^|^GTY^|^1^|^DWH^|^507
342^|^MMC^|^-4.705^|^20130224^|^GTY^|^0^|^DWH^|^508
343^|^MMC^|^-4.805^|^20130808^|^GTY^|^1^|^DWH^|^509
344^|^MMC^|^-4.805^|^20130620^|^GTY^|^1^|^DWH^|^510
345^|^MMC^|^-4.805^|^20130427^|^GTY^|^0^|^DWH^|^511
346^|^MMC^|^-4.705^|^20131112^|^GTY^|^1^|^DWH^|^512
347^|^MMC^|^-4.705^|^20131226^|^GTY^|^0^|^DWH^|^513
348^|^MMC^|^-4.805^|^20130926^|^GTY^|^0^|^DWH^|^514
349^|^MMC^|^-4.805^|^20131004^|^GTY^|^1^|^DWH^|^515
350^|^MMC^|^-4.705^|^20130604^|^GTY^|^1^|^DWH^|^516
351^|^MMC^|^-4.705^|^20130213^|^GTY^|^1^|^DWH^|^517
352^|^MMC^|^-4.805^|^20130622^|^GTY^|^1^|^DWH^|^518
353^|^MMC^|^-4.705^|^20130325^|^GTY^|^0^|^DWH^|^519
354^|^MMC^|^-4.805^|^20130510^|^GTY^|^0^|^DWH^|^520
355^|^MMC^|^-4.705^|^20130221^|^GTY^|^1^|^DWH^|^521
356^|^MMC^|^-4.805^|^20130827^|^GTY^|^0^|^DWH^|^522
357^|^MMC^|^-4.705^|^20131123^|^GTY^|^0^|^DWH^|^523
358^|^MMC^|^-4.705^|^20130713^|^GTY^|^0^|^DWH^|^524
359^|^MMC^|^-4.805^|^20130508^|^GTY^|^1^|^DWH^|^525
360^|^MMC^|^-4.805^|^20130615^|^GTY^|^1^|^DWH^|^526
361^|^MMC^|^-4.805^|^20130328^|^GTY^|^1^|^DWH^|^527
362^|^MMC^|^-4.705^|^20130117^|^GTY^|^0^|^DWH^|^528
363^|^MMC^|^-4.705^|^20130612^|^GTY^|^1^|^DWH^|^529
364^|^MMC^|^-4.705^|^20130917^|^GTY^|^1^|^DWH^|^530
365^|^MMC^|^-4.705^|^20131116^|^GTY^|^1^|^DWH^|^531
366^|^MMC^|^-4.805^|^20130109^|^GTY^|^1^|^DWH^|^532
367^|^MMC^|^-4.705^|^20130819^|^GTY^|^1^|^DWH^|^533
368^|^MMC^|^-4.705^|^20130311^|^GTY^|^1^|^DWH^|^534
369^|^MMC^|^-4.805^|^20131129^|^GTY^|^1^|^DWH^|^535
370^|^MMC^|^-4.705^|^20131007^|^GTY^|^0^|^DWH^|^536
371^|^MMC^|^-4.805^|^20131005^|^GTY^|^1^|^DWH^|^537
372^|^MMC^|^-4.805^|^20130126^|^GTY^|^0^|^DWH^|^538
373^|^MMC^|^-4.705^|^20130905^|^GTY^|^0^|^DWH^|^539
374^|^MMC^|^-4.705^|^20130924^|^GTY^|^1^|^DWH^|^540
375^|^MMC^|^-4.805^|^20130208^|^GTY^|^0^|^DWH^|^541
376^|^MMC^|^-4.705^|^20130306^|^GTY^|^1^|^DWH^|^542
377^|^MMC^|^-4.805^|^20130629^|^GTY^|^1^|^DWH^|^543
378^|^MMC^|^-4.705^|^20131126^|^GTY^|^1^|^DWH^|^544
379^|^MMC^|^-4.705^|^20130919^|^GTY^|^1^|^DWH^|^545
380^|^MMC^|^-4.705^|^20130507^|^GTY^|^1^|^DWH^|^546
381^|^MMC^|^-4.805^|^20131022^|^GTY^|^1^|^DWH^|^547
382^|^MMC^|^-4.705^|^20130118^|^GTY^|^0^|^DWH^|^548
383^|^MMC^|^-4.805^|^20131012^|^GTY^|^1^|^DWH^|^549
384^|^MMC^|^-4.805^|^20130914^|^GTY^|^0^|^DWH^|^550
