memo_type^|^dwh_source_ind^|^market_code^|^dwh_valid_from^|^dwh_valid_until^|^dwh_current_flag^|^description^|^memo_type_category^|^memo_type_manual_ind^|^memo_type_system_text^|^memo_type_number_of_parameters^|^memo_type_coll_history_ind^|^memo_tip_cm_ind^|^memo_tip_act_hist_ind^|^team_db^|^location_db^|^memo_type_flex_vars_ind
56^|^3^|^M29^|^20181210^|^20200224^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
57^|^3^|^M30^|^20191002^|^20210506^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
58^|^3^|^M31^|^20211210^|^20191031^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
59^|^3^|^M32^|^20200928^|^20190801^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
60^|^3^|^M33^|^20190505^|^20181015^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
61^|^3^|^M34^|^20200427^|^20211118^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
62^|^3^|^M35^|^20200721^|^20200817^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
63^|^3^|^M36^|^20181208^|^20191023^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
64^|^3^|^M37^|^20190216^|^20220822^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
65^|^3^|^M38^|^20181206^|^20210221^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
66^|^3^|^M39^|^20190417^|^20191211^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
67^|^3^|^M40^|^20190314^|^20190220^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
68^|^3^|^M41^|^20210720^|^20200807^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
69^|^3^|^M42^|^20220925^|^20191024^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
70^|^3^|^M43^|^20200820^|^20190503^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
71^|^3^|^M44^|^20180918^|^20180823^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
72^|^3^|^M45^|^20190501^|^20190913^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
73^|^3^|^M46^|^20200814^|^20210605^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
74^|^3^|^M47^|^20190423^|^20220825^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
75^|^3^|^M48^|^20220505^|^20201111^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
76^|^3^|^M49^|^20190116^|^20221118^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
77^|^3^|^M50^|^20180116^|^20180528^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
78^|^3^|^M51^|^20191112^|^20180710^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
79^|^3^|^M52^|^20190719^|^20210806^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
80^|^3^|^M53^|^20210712^|^20221227^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
81^|^3^|^M54^|^20210722^|^20181230^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
82^|^3^|^M55^|^20200630^|^20200422^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
83^|^3^|^M56^|^20220830^|^20180227^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
84^|^3^|^M57^|^20210609^|^20210213^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
85^|^3^|^M58^|^20191116^|^20200123^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
86^|^3^|^M59^|^20210318^|^20200405^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
87^|^3^|^M60^|^20200729^|^20201015^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
88^|^3^|^M61^|^20211212^|^20200716^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
89^|^3^|^M62^|^20181116^|^20180812^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
90^|^3^|^M63^|^20201107^|^20200507^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
91^|^3^|^M64^|^20180616^|^20201001^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
92^|^3^|^M65^|^20201231^|^20190713^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
93^|^3^|^M66^|^20211127^|^20220218^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
94^|^3^|^M67^|^20211119^|^20180702^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
95^|^3^|^M68^|^20200127^|^20210516^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
96^|^3^|^M69^|^20220505^|^20220207^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
97^|^3^|^M70^|^20200321^|^20190309^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
98^|^3^|^M71^|^20220627^|^20200313^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
99^|^3^|^M72^|^20210926^|^20211206^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
100^|^3^|^M73^|^20211120^|^20200912^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
101^|^3^|^M74^|^20210417^|^20211016^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
102^|^3^|^M75^|^20210705^|^20220926^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
103^|^3^|^M76^|^20191210^|^20210403^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
104^|^3^|^M77^|^20221204^|^20190717^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
105^|^3^|^M78^|^20220710^|^20190620^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
106^|^3^|^M79^|^20190322^|^20220303^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
107^|^3^|^M80^|^20180616^|^20210419^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
108^|^3^|^M81^|^20210201^|^20180921^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
109^|^3^|^M82^|^20211212^|^20190517^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
110^|^3^|^M83^|^20180402^|^20200516^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
111^|^3^|^M84^|^20210130^|^20190211^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
112^|^3^|^M85^|^20180308^|^20211209^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
113^|^3^|^M86^|^20200426^|^20220307^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
114^|^3^|^M87^|^20221102^|^20210509^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
115^|^3^|^M88^|^20180121^|^20200419^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
116^|^3^|^M89^|^20211031^|^20200708^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
117^|^3^|^M90^|^20191127^|^20190723^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
118^|^3^|^M91^|^20200627^|^20190924^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
119^|^3^|^M92^|^20180702^|^20190710^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
120^|^3^|^M93^|^20181227^|^20200614^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
121^|^3^|^M94^|^20221207^|^20190326^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
122^|^3^|^M95^|^20180225^|^20220203^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
123^|^3^|^M96^|^20220224^|^20190414^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
124^|^3^|^M97^|^20200112^|^20210331^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
125^|^3^|^M98^|^20220413^|^20180105^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
126^|^3^|^M99^|^20181024^|^20220724^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
127^|^3^|^M100^|^20200905^|^20221204^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
128^|^3^|^M101^|^20220729^|^20200614^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
129^|^3^|^M102^|^20200605^|^20201014^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
130^|^3^|^M103^|^20210603^|^20210608^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
131^|^3^|^M104^|^20200914^|^20210227^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
132^|^3^|^M105^|^20210205^|^20201014^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
133^|^3^|^M106^|^20211010^|^20180126^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
134^|^3^|^M107^|^20200402^|^20200722^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
135^|^3^|^M108^|^20201203^|^20210416^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
136^|^3^|^M109^|^20201109^|^20220912^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
137^|^3^|^M110^|^20190214^|^20220515^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
138^|^3^|^M111^|^20201127^|^20201118^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
139^|^3^|^M112^|^20200207^|^20180523^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
140^|^3^|^M113^|^20200712^|^20191229^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
141^|^3^|^M114^|^20181115^|^20211228^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
142^|^3^|^M115^|^20211015^|^20220727^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
143^|^3^|^M116^|^20220428^|^20201219^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
144^|^3^|^M117^|^20220706^|^20210405^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
145^|^3^|^M118^|^20190716^|^20220321^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
146^|^3^|^M119^|^20190415^|^20220527^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
147^|^3^|^M120^|^20190330^|^20190804^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
148^|^3^|^M121^|^20180610^|^20220403^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
149^|^3^|^M122^|^20180722^|^20180218^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
150^|^3^|^M123^|^20190326^|^20211026^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
151^|^3^|^M124^|^20221115^|^20220723^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
152^|^3^|^M125^|^20201109^|^20191210^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
153^|^3^|^M126^|^20190623^|^20200825^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
154^|^3^|^M127^|^20210819^|^20210522^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
155^|^3^|^M128^|^20191209^|^20220831^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
156^|^3^|^M129^|^20191230^|^20180626^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
157^|^3^|^M130^|^20181124^|^20201014^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
158^|^3^|^M131^|^20200909^|^20190930^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
159^|^3^|^M132^|^20210812^|^20211012^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
160^|^3^|^M133^|^20180414^|^20181001^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
161^|^3^|^M134^|^20201208^|^20181028^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
162^|^3^|^M135^|^20180916^|^20221210^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
163^|^3^|^M136^|^20201108^|^20180717^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
164^|^3^|^M137^|^20221101^|^20191103^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
165^|^3^|^M138^|^20220913^|^20180327^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
166^|^3^|^M139^|^20220831^|^20181204^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
167^|^3^|^M140^|^20180621^|^20220119^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
168^|^3^|^M141^|^20220824^|^20181208^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
169^|^3^|^M142^|^20180511^|^20200330^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
170^|^3^|^M143^|^20210503^|^20200603^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
171^|^3^|^M144^|^20200705^|^20210719^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
172^|^3^|^M145^|^20201219^|^20180820^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
173^|^3^|^M146^|^20210225^|^20211019^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
174^|^3^|^M147^|^20210411^|^20211119^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
175^|^3^|^M148^|^20220127^|^20191023^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
176^|^3^|^M149^|^20181201^|^20210321^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
177^|^3^|^M150^|^20221011^|^20181227^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
178^|^3^|^M151^|^20200622^|^20190107^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
179^|^3^|^M152^|^20180701^|^20190110^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
180^|^3^|^M153^|^20220923^|^20220208^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
181^|^3^|^M154^|^20211001^|^20180515^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
182^|^3^|^M155^|^20180126^|^20180503^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
183^|^3^|^M156^|^20180423^|^20211108^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
184^|^3^|^M157^|^20221021^|^20210112^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
185^|^3^|^M158^|^20180111^|^20190328^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
186^|^3^|^M159^|^20201110^|^20181015^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
187^|^3^|^M160^|^20210630^|^20220815^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
188^|^3^|^M161^|^20190906^|^20190419^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
189^|^3^|^M162^|^20200114^|^20190923^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
190^|^3^|^M163^|^20210914^|^20211128^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
191^|^3^|^M164^|^20210109^|^20180618^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
192^|^3^|^M165^|^20220406^|^20220102^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
193^|^3^|^M166^|^20221212^|^20190620^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
194^|^3^|^M167^|^20190418^|^20200306^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
195^|^3^|^M168^|^20220901^|^20200623^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
196^|^3^|^M169^|^20200323^|^20180818^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
197^|^3^|^M170^|^20200929^|^20190528^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
198^|^3^|^M171^|^20180831^|^20210404^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
199^|^3^|^M172^|^20220716^|^20190620^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
200^|^3^|^M173^|^20210331^|^20220607^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
201^|^3^|^M174^|^20190219^|^20180908^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
202^|^3^|^M175^|^20181025^|^20190311^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
203^|^3^|^M176^|^20211110^|^20200126^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
204^|^3^|^M177^|^20200826^|^20180905^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
205^|^3^|^M178^|^20200429^|^20220306^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
206^|^3^|^M179^|^20220406^|^20210930^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
207^|^3^|^M180^|^20221010^|^20200115^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
208^|^3^|^M181^|^20190311^|^20221029^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
209^|^3^|^M182^|^20220102^|^20220725^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
210^|^3^|^M183^|^20200321^|^20220627^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
211^|^3^|^M184^|^20180425^|^20210516^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
