contr_id^|^contr_valid_from_dt^|^contr_valid_until_dt^|^contr_subtype_cd^|^contr_ident_type_cd^|^contr_status_dt^|^contr_status_cd^|^contr_stat_rsn_cd^|^contr_sign_dt^|^contr_receive_dt^|^contr_orig_start_dt^|^contr_pl_expire_dt^|^contr_commit_per_start_dt^|^contr_next_subsidy_dt^|^contr_last_subsidy_dt^|^has_skeleton_contract^|^customer_id
69^|^20110921^|^20231110^|^CON^|^MSUB^|^20170929^|^Pending^|^Statusreasoncode^|^20170522^|^20170927^|^20160308^|^20231102^|^20230315^|^20221123^|^20230319^|^1^|^89284583
70^|^20111114^|^20230805^|^SUB^|^SKEL^|^20170110^|^Activated^|^Statusreasoncode^|^20161221^|^20170823^|^20150402^|^20231105^|^20230707^|^20230601^|^20231007^|^1^|^89284584
71^|^20110409^|^20231026^|^CON^|^SKEL^|^20171007^|^Activated^|^Statusreasoncode^|^20170404^|^20170730^|^20150628^|^20230730^|^20221126^|^20221213^|^20221228^|^1^|^89284585
72^|^20110217^|^20221209^|^CON^|^CNPCN^|^20170206^|^Activated^|^Statusreasoncode^|^20170616^|^20161125^|^20160917^|^20230618^|^20231116^|^20221212^|^20231109^|^1^|^89284586
73^|^20110706^|^20230809^|^CON^|^CID^|^20171019^|^Activated^|^Statusreasoncode^|^20170130^|^20170601^|^20160716^|^20230212^|^20230813^|^20230131^|^20221203^|^1^|^89284587
74^|^20111107^|^20230526^|^SUB^|^SKEL^|^20171102^|^TerminatedUnkown^|^Statusreasoncode^|^20170323^|^20170629^|^20161106^|^20230703^|^20230607^|^20221220^|^20230706^|^1^|^89284588
75^|^20110205^|^20230729^|^SUB^|^CNPCN^|^20170919^|^TerminatedUnkown^|^Statusreasoncode^|^20171101^|^20170120^|^20150824^|^20230507^|^20230610^|^20230712^|^20231022^|^1^|^89284589
76^|^20110618^|^20230120^|^SUB^|^CID^|^20170527^|^Pending^|^Statusreasoncode^|^20170128^|^20170513^|^20150925^|^20230316^|^20230104^|^20230404^|^20230113^|^1^|^89284590
77^|^20110905^|^20230425^|^CON^|^MSUB^|^20161125^|^Activated^|^Statusreasoncode^|^20161202^|^20170627^|^20160826^|^20230508^|^20230305^|^20230801^|^20221120^|^1^|^89284591
78^|^20101229^|^20230928^|^SUB^|^CID^|^20170225^|^Pending^|^Statusreasoncode^|^20161123^|^20170712^|^20150128^|^20230928^|^20230421^|^20231012^|^20230813^|^1^|^89284592
79^|^20110212^|^20231008^|^CON^|^CNPCN^|^20170516^|^Activated^|^Statusreasoncode^|^20170306^|^20170216^|^20160711^|^20230102^|^20231020^|^20230917^|^20230408^|^1^|^89284593
80^|^20110217^|^20230802^|^CON^|^CID^|^20161125^|^Pending^|^Statusreasoncode^|^20170604^|^20170722^|^20160204^|^20231022^|^20230202^|^20230611^|^20230720^|^1^|^89284594
81^|^20100408^|^20231112^|^CON^|^CNPCN^|^20170114^|^Activated^|^Statusreasoncode^|^20170516^|^20171101^|^20150406^|^20230215^|^20230501^|^20230309^|^20230416^|^1^|^89284595
82^|^20100302^|^20230626^|^CON^|^MSUB^|^20170331^|^Activated^|^Statusreasoncode^|^20170322^|^20170315^|^20150508^|^20230505^|^20230215^|^20230215^|^20230130^|^1^|^89284596
83^|^20110727^|^20221206^|^SUB^|^CNPCN^|^20170407^|^Pending^|^Statusreasoncode^|^20170926^|^20170602^|^20151003^|^20231025^|^20230814^|^20230930^|^20230307^|^1^|^89284597
84^|^20110408^|^20230427^|^SUB^|^CNPCN^|^20170923^|^TerminatedUnkown^|^Statusreasoncode^|^20170426^|^20171014^|^20160312^|^20230326^|^20230725^|^20230928^|^20230501^|^1^|^89284598
85^|^20101220^|^20230617^|^SUB^|^MSUB^|^20170318^|^Pending^|^Statusreasoncode^|^20170419^|^20170626^|^20160107^|^20231002^|^20231115^|^20221229^|^20230622^|^1^|^89284599
86^|^20100802^|^20221126^|^SUB^|^SKEL^|^20170423^|^Pending^|^Statusreasoncode^|^20170421^|^20170627^|^20160214^|^20230724^|^20230328^|^20230624^|^20230407^|^1^|^89284600
87^|^20101003^|^20230919^|^SUB^|^CID^|^20170712^|^TerminatedUnkown^|^Statusreasoncode^|^20170521^|^20170501^|^20150804^|^20230425^|^20230901^|^20230530^|^20230814^|^1^|^89284601
88^|^20100320^|^20221201^|^SUB^|^CNPCN^|^20171008^|^TerminatedUnkown^|^Statusreasoncode^|^20170321^|^20170530^|^20150810^|^20231118^|^20221228^|^20230822^|^20230225^|^1^|^89284602
89^|^20110604^|^20230925^|^SUB^|^CID^|^20171015^|^Activated^|^Statusreasoncode^|^20170123^|^20170327^|^20160506^|^20230108^|^20231102^|^20231106^|^20230819^|^1^|^89284603
90^|^20101208^|^20230726^|^SUB^|^MSUB^|^20170831^|^Activated^|^Statusreasoncode^|^20170728^|^20161219^|^20150623^|^20230826^|^20230521^|^20230109^|^20230930^|^1^|^89284604
91^|^20110320^|^20230519^|^SUB^|^SKEL^|^20170320^|^TerminatedUnkown^|^Statusreasoncode^|^20161226^|^20170201^|^20161030^|^20230422^|^20230206^|^20230303^|^20230702^|^1^|^89284605
92^|^20100704^|^20230701^|^CON^|^CID^|^20170225^|^Activated^|^Statusreasoncode^|^20170415^|^20170310^|^20160627^|^20230125^|^20230310^|^20231107^|^20230804^|^1^|^89284606
93^|^20110517^|^20230129^|^SUB^|^CID^|^20170107^|^Pending^|^Statusreasoncode^|^20171001^|^20170630^|^20160201^|^20230729^|^20230219^|^20230510^|^20230814^|^1^|^89284607
94^|^20101106^|^20231008^|^CON^|^MSUB^|^20170904^|^Activated^|^Statusreasoncode^|^20171111^|^20170115^|^20160523^|^20230228^|^20230112^|^20230221^|^20221227^|^1^|^89284608
95^|^20100802^|^20230630^|^CON^|^MSUB^|^20171012^|^TerminatedUnkown^|^Statusreasoncode^|^20170428^|^20170115^|^20160927^|^20230708^|^20230705^|^20230702^|^20230215^|^1^|^89284609
96^|^20100717^|^20230209^|^SUB^|^SKEL^|^20170128^|^Activated^|^Statusreasoncode^|^20170914^|^20171117^|^20150320^|^20230325^|^20230410^|^20230329^|^20230420^|^1^|^89284610
97^|^20100622^|^20230109^|^CON^|^MSUB^|^20170714^|^Pending^|^Statusreasoncode^|^20170409^|^20170306^|^20160725^|^20230804^|^20230315^|^20221124^|^20230918^|^1^|^89284611
98^|^20101027^|^20230914^|^SUB^|^MSUB^|^20170529^|^TerminatedUnkown^|^Statusreasoncode^|^20170410^|^20170711^|^20150529^|^20230418^|^20230131^|^20230121^|^20231114^|^1^|^89284612
99^|^20110326^|^20230811^|^SUB^|^CNPCN^|^20170310^|^TerminatedUnkown^|^Statusreasoncode^|^20171116^|^20170918^|^20160605^|^20230907^|^20230529^|^20221201^|^20230416^|^1^|^89284613
100^|^20101014^|^20230220^|^SUB^|^CID^|^20170110^|^Pending^|^Statusreasoncode^|^20170619^|^20171030^|^20150730^|^20230728^|^20230113^|^20231104^|^20230823^|^1^|^89284614
101^|^20110902^|^20230112^|^SUB^|^CID^|^20161229^|^TerminatedUnkown^|^Statusreasoncode^|^20170823^|^20170328^|^20150925^|^20221213^|^20221206^|^20230107^|^20221219^|^1^|^89284615
102^|^20100623^|^20230120^|^CON^|^CID^|^20170302^|^Activated^|^Statusreasoncode^|^20170115^|^20170820^|^20150331^|^20221121^|^20221212^|^20230628^|^20230906^|^1^|^89284616
103^|^20110427^|^20230625^|^SUB^|^MSUB^|^20170926^|^Pending^|^Statusreasoncode^|^20170307^|^20161129^|^20141210^|^20231104^|^20231018^|^20230202^|^20230728^|^1^|^89284617
104^|^20110130^|^20221230^|^CON^|^CID^|^20170519^|^TerminatedUnkown^|^Statusreasoncode^|^20170329^|^20170715^|^20150114^|^20230929^|^20230821^|^20231010^|^20221225^|^1^|^89284618
105^|^20100327^|^20230713^|^CON^|^CNPCN^|^20170728^|^TerminatedUnkown^|^Statusreasoncode^|^20170216^|^20161121^|^20150809^|^20230513^|^20230501^|^20230718^|^20221226^|^1^|^89284619
106^|^20110612^|^20230716^|^SUB^|^MSUB^|^20170616^|^Activated^|^Statusreasoncode^|^20170617^|^20170808^|^20160529^|^20230506^|^20231012^|^20230301^|^20231014^|^1^|^89284620
107^|^20101126^|^20221122^|^CON^|^CID^|^20170325^|^Activated^|^Statusreasoncode^|^20170709^|^20170504^|^20151222^|^20230613^|^20231104^|^20230328^|^20221209^|^1^|^89284621
108^|^20110404^|^20230427^|^CON^|^MSUB^|^20170302^|^TerminatedUnkown^|^Statusreasoncode^|^20170612^|^20170930^|^20150511^|^20230331^|^20230125^|^20230528^|^20230805^|^1^|^89284622
109^|^20100717^|^20230902^|^CON^|^SKEL^|^20170723^|^Activated^|^Statusreasoncode^|^20170428^|^20170207^|^20160229^|^20230317^|^20230520^|^20230702^|^20230509^|^1^|^89284623
110^|^20110329^|^20230809^|^SUB^|^CNPCN^|^20170723^|^Pending^|^Statusreasoncode^|^20170911^|^20170612^|^20160404^|^20230227^|^20230127^|^20231102^|^20230912^|^1^|^89284624
111^|^20101024^|^20231012^|^CON^|^SKEL^|^20170514^|^Activated^|^Statusreasoncode^|^20170902^|^20170823^|^20160910^|^20230521^|^20231008^|^20230521^|^20221222^|^1^|^89284625
112^|^20110422^|^20230811^|^CON^|^SKEL^|^20161123^|^Pending^|^Statusreasoncode^|^20170128^|^20170404^|^20160321^|^20221120^|^20230724^|^20230901^|^20230419^|^1^|^89284626
113^|^20100812^|^20230501^|^CON^|^CID^|^20170106^|^Activated^|^Statusreasoncode^|^20171107^|^20170314^|^20160911^|^20230324^|^20231002^|^20230515^|^20221120^|^1^|^89284627
114^|^20100514^|^20230307^|^CON^|^CID^|^20171110^|^Activated^|^Statusreasoncode^|^20170718^|^20170619^|^20161116^|^20230817^|^20221209^|^20230703^|^20230113^|^1^|^89284628
115^|^20100518^|^20230731^|^CON^|^SKEL^|^20171029^|^TerminatedUnkown^|^Statusreasoncode^|^20170406^|^20170427^|^20160610^|^20230505^|^20230516^|^20230917^|^20230523^|^1^|^89284629
116^|^20110715^|^20230407^|^SUB^|^SKEL^|^20170925^|^TerminatedUnkown^|^Statusreasoncode^|^20170707^|^20170223^|^20160123^|^20230603^|^20221122^|^20231013^|^20230727^|^1^|^89284630
117^|^20110727^|^20230610^|^SUB^|^MSUB^|^20170907^|^Pending^|^Statusreasoncode^|^20170707^|^20170507^|^20160506^|^20230130^|^20231031^|^20230811^|^20231101^|^1^|^89284631
118^|^20101113^|^20231003^|^SUB^|^CNPCN^|^20170407^|^TerminatedUnkown^|^Statusreasoncode^|^20161223^|^20161227^|^20160113^|^20230915^|^20221214^|^20230626^|^20230525^|^1^|^89284632
119^|^20110715^|^20230317^|^SUB^|^MSUB^|^20171007^|^Activated^|^Statusreasoncode^|^20170330^|^20170711^|^20160328^|^20230722^|^20231109^|^20230228^|^20231017^|^1^|^89284633
120^|^20100623^|^20230625^|^CON^|^CID^|^20171111^|^Pending^|^Statusreasoncode^|^20170118^|^20171002^|^20150816^|^20230518^|^20230417^|^20221226^|^20221130^|^1^|^89284634
121^|^20111001^|^20230916^|^CON^|^CID^|^20170404^|^TerminatedUnkown^|^Statusreasoncode^|^20170731^|^20171029^|^20160128^|^20230817^|^20230511^|^20221227^|^20221218^|^1^|^89284635
122^|^20100311^|^20230417^|^CON^|^SKEL^|^20170317^|^Activated^|^Statusreasoncode^|^20170803^|^20170503^|^20161004^|^20231006^|^20230926^|^20230108^|^20221128^|^1^|^89284636
123^|^20100627^|^20230506^|^SUB^|^CNPCN^|^20170120^|^Activated^|^Statusreasoncode^|^20170506^|^20161216^|^20150309^|^20230605^|^20230625^|^20230514^|^20230507^|^1^|^89284637
124^|^20110923^|^20221226^|^SUB^|^CNPCN^|^20171031^|^TerminatedUnkown^|^Statusreasoncode^|^20170531^|^20170619^|^20160909^|^20221212^|^20230908^|^20230620^|^20230424^|^1^|^89284638
125^|^20110608^|^20230417^|^SUB^|^SKEL^|^20161219^|^TerminatedUnkown^|^Statusreasoncode^|^20170119^|^20171003^|^20151222^|^20230411^|^20230607^|^20230624^|^20230117^|^1^|^89284639
126^|^20110322^|^20230523^|^CON^|^SKEL^|^20161203^|^Pending^|^Statusreasoncode^|^20161123^|^20171117^|^20150318^|^20230712^|^20230221^|^20230609^|^20230102^|^1^|^89284640
127^|^20101106^|^20230303^|^SUB^|^CID^|^20170821^|^TerminatedUnkown^|^Statusreasoncode^|^20170908^|^20170517^|^20150206^|^20231003^|^20230920^|^20231101^|^20230708^|^1^|^89284641
128^|^20101121^|^20230316^|^CON^|^MSUB^|^20170504^|^TerminatedUnkown^|^Statusreasoncode^|^20170303^|^20170220^|^20150804^|^20230217^|^20230804^|^20221228^|^20230414^|^1^|^89284642
129^|^20110702^|^20230904^|^CON^|^CNPCN^|^20171016^|^TerminatedUnkown^|^Statusreasoncode^|^20170220^|^20171020^|^20160517^|^20231005^|^20230317^|^20221225^|^20230108^|^1^|^89284643
130^|^20101027^|^20230127^|^CON^|^CNPCN^|^20170929^|^Pending^|^Statusreasoncode^|^20170518^|^20170914^|^20160319^|^20230209^|^20230913^|^20230605^|^20230626^|^1^|^89284644
131^|^20100731^|^20230916^|^CON^|^CNPCN^|^20170605^|^Pending^|^Statusreasoncode^|^20170706^|^20170507^|^20150927^|^20230422^|^20230713^|^20221227^|^20230209^|^1^|^89284645
132^|^20101112^|^20230506^|^SUB^|^CID^|^20171116^|^Pending^|^Statusreasoncode^|^20170307^|^20170430^|^20151217^|^20230225^|^20230727^|^20231028^|^20230218^|^1^|^89284646
133^|^20100215^|^20230103^|^CON^|^MSUB^|^20170716^|^TerminatedUnkown^|^Statusreasoncode^|^20170311^|^20170126^|^20150428^|^20230225^|^20231109^|^20230922^|^20230518^|^1^|^89284647
134^|^20100713^|^20230412^|^SUB^|^CNPCN^|^20170515^|^Pending^|^Statusreasoncode^|^20170710^|^20171112^|^20150912^|^20230807^|^20230102^|^20230502^|^20230306^|^1^|^89284648
135^|^20101212^|^20230713^|^CON^|^CNPCN^|^20170709^|^Pending^|^Statusreasoncode^|^20161205^|^20170124^|^20141120^|^20230227^|^20230404^|^20230513^|^20230605^|^1^|^89284649
136^|^20101201^|^20231005^|^SUB^|^MSUB^|^20170328^|^Pending^|^Statusreasoncode^|^20170924^|^20161120^|^20160317^|^20221125^|^20221207^|^20230221^|^20230729^|^1^|^89284650
137^|^20110609^|^20230502^|^CON^|^CID^|^20170628^|^Activated^|^Statusreasoncode^|^20170928^|^20170206^|^20150503^|^20230103^|^20230325^|^20230727^|^20230314^|^1^|^89284651
138^|^20100306^|^20230428^|^CON^|^CNPCN^|^20170830^|^Activated^|^Statusreasoncode^|^20170123^|^20170913^|^20151229^|^20230107^|^20230625^|^20230507^|^20230409^|^1^|^89284652
139^|^20110127^|^20230304^|^CON^|^SKEL^|^20171102^|^TerminatedUnkown^|^Statusreasoncode^|^20170828^|^20170728^|^20151110^|^20230906^|^20230126^|^20230817^|^20230317^|^1^|^89284653
140^|^20110814^|^20230710^|^CON^|^MSUB^|^20171102^|^TerminatedUnkown^|^Statusreasoncode^|^20170717^|^20170314^|^20151204^|^20230728^|^20230113^|^20231030^|^20230131^|^1^|^89284654
141^|^20110312^|^20230423^|^SUB^|^SKEL^|^20170714^|^Activated^|^Statusreasoncode^|^20170819^|^20170424^|^20160319^|^20230416^|^20230330^|^20230127^|^20230920^|^1^|^89284655
142^|^20101114^|^20221224^|^CON^|^SKEL^|^20170301^|^TerminatedUnkown^|^Statusreasoncode^|^20170830^|^20170601^|^20160416^|^20230927^|^20230328^|^20230602^|^20231119^|^1^|^89284656
143^|^20101222^|^20231105^|^CON^|^MSUB^|^20170429^|^Activated^|^Statusreasoncode^|^20171001^|^20170110^|^20150318^|^20230104^|^20230322^|^20230726^|^20221129^|^1^|^89284657
144^|^20100309^|^20230630^|^SUB^|^SKEL^|^20170809^|^TerminatedUnkown^|^Statusreasoncode^|^20170122^|^20170702^|^20141208^|^20221205^|^20230215^|^20230706^|^20231116^|^1^|^89284658
145^|^20100412^|^20230116^|^SUB^|^MSUB^|^20170623^|^Activated^|^Statusreasoncode^|^20170206^|^20170725^|^20160516^|^20230103^|^20231007^|^20230215^|^20221129^|^1^|^89284659
146^|^20110814^|^20230702^|^CON^|^CID^|^20170807^|^TerminatedUnkown^|^Statusreasoncode^|^20170908^|^20170701^|^20150621^|^20231113^|^20231106^|^20230910^|^20221128^|^1^|^89284660
147^|^20110713^|^20230630^|^CON^|^CID^|^20161128^|^TerminatedUnkown^|^Statusreasoncode^|^20170124^|^20170703^|^20150527^|^20230330^|^20230321^|^20231015^|^20230706^|^1^|^89284661
148^|^20110326^|^20230416^|^CON^|^CNPCN^|^20170122^|^TerminatedUnkown^|^Statusreasoncode^|^20171013^|^20170715^|^20150605^|^20230211^|^20230113^|^20230223^|^20230603^|^1^|^89284662
149^|^20110719^|^20230905^|^SUB^|^MSUB^|^20170811^|^TerminatedUnkown^|^Statusreasoncode^|^20170129^|^20161226^|^20150301^|^20230912^|^20230601^|^20231004^|^20230523^|^1^|^89284663
150^|^20110122^|^20230328^|^CON^|^CID^|^20170817^|^Activated^|^Statusreasoncode^|^20170803^|^20170711^|^20150902^|^20230716^|^20230622^|^20230116^|^20230717^|^1^|^89284664
151^|^20100803^|^20230129^|^CON^|^CNPCN^|^20171107^|^Pending^|^Statusreasoncode^|^20170406^|^20170429^|^20160216^|^20230724^|^20230617^|^20230115^|^20230318^|^1^|^89284665
152^|^20100609^|^20230421^|^CON^|^CNPCN^|^20170108^|^Pending^|^Statusreasoncode^|^20170624^|^20171001^|^20160522^|^20230216^|^20230503^|^20221120^|^20230729^|^1^|^89284666
153^|^20111021^|^20230406^|^SUB^|^CID^|^20170906^|^Pending^|^Statusreasoncode^|^20170803^|^20170620^|^20150205^|^20230114^|^20230301^|^20230305^|^20230122^|^1^|^89284667
154^|^20100323^|^20230502^|^CON^|^CID^|^20161124^|^Pending^|^Statusreasoncode^|^20170428^|^20170316^|^20151216^|^20230201^|^20231005^|^20230929^|^20230801^|^1^|^89284668
155^|^20100830^|^20231030^|^CON^|^MSUB^|^20170930^|^TerminatedUnkown^|^Statusreasoncode^|^20170215^|^20170730^|^20141215^|^20221216^|^20231105^|^20221206^|^20230801^|^1^|^89284669
156^|^20110113^|^20230912^|^CON^|^CID^|^20170809^|^Pending^|^Statusreasoncode^|^20170405^|^20171012^|^20150821^|^20221207^|^20230415^|^20231116^|^20230106^|^1^|^89284670
157^|^20110810^|^20230404^|^SUB^|^SKEL^|^20170819^|^TerminatedUnkown^|^Statusreasoncode^|^20170312^|^20170529^|^20151022^|^20230219^|^20230212^|^20230516^|^20221124^|^1^|^89284671
158^|^20100426^|^20230726^|^SUB^|^MSUB^|^20161204^|^TerminatedUnkown^|^Statusreasoncode^|^20170209^|^20170818^|^20160825^|^20230521^|^20230608^|^20230426^|^20231008^|^1^|^89284672
159^|^20110213^|^20230106^|^SUB^|^CNPCN^|^20170128^|^TerminatedUnkown^|^Statusreasoncode^|^20170924^|^20170321^|^20160920^|^20230523^|^20230221^|^20230903^|^20230620^|^1^|^89284673
160^|^20101003^|^20230526^|^CON^|^MSUB^|^20170817^|^Activated^|^Statusreasoncode^|^20170221^|^20170120^|^20150607^|^20230413^|^20230513^|^20230203^|^20231002^|^1^|^89284674
161^|^20101107^|^20230721^|^SUB^|^SKEL^|^20170726^|^TerminatedUnkown^|^Statusreasoncode^|^20170602^|^20170320^|^20160131^|^20230126^|^20230626^|^20230324^|^20230807^|^1^|^89284675
162^|^20101223^|^20221205^|^SUB^|^CID^|^20170628^|^Pending^|^Statusreasoncode^|^20170616^|^20170718^|^20141211^|^20230416^|^20230426^|^20230107^|^20230714^|^1^|^89284676
163^|^20100325^|^20230722^|^CON^|^CID^|^20170812^|^TerminatedUnkown^|^Statusreasoncode^|^20170919^|^20170321^|^20150709^|^20230407^|^20231018^|^20230721^|^20230913^|^1^|^89284677
164^|^20100826^|^20230726^|^SUB^|^CNPCN^|^20161203^|^Activated^|^Statusreasoncode^|^20170617^|^20170823^|^20150828^|^20230720^|^20230304^|^20230705^|^20230903^|^1^|^89284678
165^|^20100625^|^20221128^|^CON^|^MSUB^|^20170130^|^Activated^|^Statusreasoncode^|^20170807^|^20171025^|^20150530^|^20231108^|^20230811^|^20230609^|^20230808^|^1^|^89284679
166^|^20100904^|^20221220^|^CON^|^SKEL^|^20171107^|^Pending^|^Statusreasoncode^|^20170208^|^20170502^|^20160924^|^20230922^|^20230313^|^20230116^|^20231103^|^1^|^89284680
167^|^20101217^|^20230730^|^CON^|^CNPCN^|^20170124^|^Activated^|^Statusreasoncode^|^20170701^|^20170917^|^20150929^|^20230526^|^20230511^|^20230708^|^20230322^|^1^|^89284681
168^|^20100718^|^20230820^|^CON^|^CNPCN^|^20171024^|^Activated^|^Statusreasoncode^|^20171105^|^20170308^|^20161024^|^20230718^|^20230306^|^20231114^|^20230526^|^1^|^89284682
169^|^20110615^|^20230105^|^CON^|^CID^|^20170215^|^TerminatedUnkown^|^Statusreasoncode^|^20161128^|^20170601^|^20160603^|^20230630^|^20230416^|^20231108^|^20230404^|^1^|^89284683
170^|^20100320^|^20230209^|^SUB^|^CID^|^20170817^|^TerminatedUnkown^|^Statusreasoncode^|^20161206^|^20171007^|^20141211^|^20231113^|^20230928^|^20230610^|^20230128^|^1^|^89284684
171^|^20110629^|^20230310^|^CON^|^SKEL^|^20170313^|^Activated^|^Statusreasoncode^|^20171006^|^20170809^|^20160705^|^20230316^|^20230911^|^20230731^|^20230406^|^1^|^89284685
172^|^20110129^|^20230220^|^CON^|^CID^|^20170724^|^Pending^|^Statusreasoncode^|^20170911^|^20170329^|^20160228^|^20230206^|^20230418^|^20230529^|^20230925^|^1^|^89284686
173^|^20100208^|^20230205^|^CON^|^SKEL^|^20170322^|^Activated^|^Statusreasoncode^|^20170816^|^20170930^|^20150521^|^20230617^|^20231013^|^20230408^|^20230125^|^1^|^89284687
174^|^20100525^|^20230317^|^CON^|^MSUB^|^20170402^|^Activated^|^Statusreasoncode^|^20170515^|^20171018^|^20160416^|^20230720^|^20221223^|^20230702^|^20230107^|^1^|^89284688
175^|^20111024^|^20230809^|^SUB^|^SKEL^|^20161215^|^TerminatedUnkown^|^Statusreasoncode^|^20161205^|^20170702^|^20160818^|^20221208^|^20230928^|^20230625^|^20230820^|^1^|^89284689
176^|^20100315^|^20230831^|^SUB^|^MSUB^|^20170626^|^Activated^|^Statusreasoncode^|^20170405^|^20170607^|^20160806^|^20221121^|^20230625^|^20230620^|^20230811^|^1^|^89284690
177^|^20101006^|^20231114^|^SUB^|^CID^|^20170211^|^TerminatedUnkown^|^Statusreasoncode^|^20170413^|^20170828^|^20160629^|^20230409^|^20230626^|^20230208^|^20221218^|^1^|^89284691
